video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
oCdyZbI0A8Q,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,부키 알림을 강지가 해준다면?,2025-12-23T09:30:28Z,21577,330.0,9.0,10100
D59FPymJxdE,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,강지,Kangji,STELLIVE,사장님을 부르는 올바른? 방법 [타비] #스텔라이브 #키리누키 #버튜버,2026-08-01T01:00:32Z,15597,1363.0,22.0,1760
a9IBIsaJGnU,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,강지,Kangji,STELLIVE,복귀 방송 중 강지님 채팅에 울컥한 시부키 [부키] #스텔라이브 #버튜버 #키리누키 ,2026-05-09T22:45:00Z,65864,1382.0,88.0,1760
LhbCw8DdGAM,UCUabLHvc9nSaRnjppK5zepg,조선누룽지,강지,Kangji,STELLIVE,스텔라이브 사장 강지 키리누키 금지 논란 #버튜버 #vtuber,2024-12-30T04:36:51Z,2759,21.0,2.0,7560
-EFb61f63Ds,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,강지 놀리다 사냥 당하는 부키,2025-05-29T09:00:01Z,37866,511.0,15.0,10100
Cc-kWVywrm4,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,강지,Kangji,STELLIVE,딸이 엄마를 닮았네요 [리코] #스텔라이브 #버튜버 #키리누키 #유즈하리코,2026-07-31T02:30:32Z,46889,1656.0,25.0,1760
a_coWdMf8hc,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,강지,Kangji,STELLIVE,사장님과 데이트에 신난 부키 [텐코시부키(w.강지)클립/배틀그라운드],2025-08-24T22:30:00Z,5053,,6.0,5280
VAitbyz7hyE,UCGfoXQT0l8YJA0gfZoJKlXQ,김천마 Gimcheonma Clip,강지,Kangji,STELLIVE,리제의 상상력에 경악을 금치 못하는 강지님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-08-31T05:09:44Z,39923,760.0,33.0,4250
4H1H9l4Mgwg,UCz2Q-685x60KJt7oROyKU4w,클립시바견,강지,Kangji,STELLIVE,유니랑 차별하는 강지에 서운한 칸나,2023-05-31T10:30:03Z,37899,456.0,16.0,1200
u07DOvuBK7I,UCGNCf6ibX1HWndVRgiChpqw,트박스 Twitch clips box,강지,Kangji,STELLIVE,강지&amp;김블루 - &quot;강지님~ 어제 제 꿈 꾸었어요?&quot; 대본이 써놓고 ㅁㅇㅁㅇ 찍는 듯한 과몰입 우결 커플.. - [ 트박스 ] 샌드박스 트위치 핫클립,2018-12-01T01:00:08Z,1113492,14266.0,2108.0,166000
uCrrTRJ81UM,UCBeHATp3J7AlgvPH8EWsMlw,후야의 뿔피리,강지,Kangji,STELLIVE,닉네임 하나로 강지 시부키를 웃게 만든 후야 ㅋㅋㅋㅋ | 스텔라이브 클립,2025-11-21T22:27:04Z,192980,2838.0,123.0,2460
