rank,name_ko,name_en,unit,clip_count,total_clip_views,avg_clip_views,fan_channels,top_clip,top_clip_views,top_channel
1,텐코 시부키,Tenko Shibuki,CLICHE,24,4248889,177037.0,15,용사와 여우신이 부르는 거북이｜Davichi(다비치)_Turtle(거북이) Live Cover.텐코 시부키 X 유즈하 리코,1704798,서트 클립 Surt Clip
2,아야츠노 유니,Ayatsuno Yuni,EVERYS,36,3369669,93601.9,19,말 실수한 유니 #shorts #유니 #아야츠노유니,1039344,이로이로_키리누키
3,강지,Kangji,STELLIVE,15,3075027,205001.8,10,강지&amp;김블루 - &quot;강지님~ 어제 제 꿈 꾸었어요?&quot; 대본이 써놓고 ㅁㅇㅁㅇ 찍는 듯한 과몰입 우결 커플.. - [ 트박스 ] 샌드박스 트위치 핫클립,1113492,트박스 Twitch clips box
4,아카네 리제,Akane Lize,UNIVERSE,14,2617472,186962.3,7,리제의 &#39;그 클립&#39; 을 본 부키 ㅋㅋㅋㅋ,786434,누따비
5,네네코 마시로,Neneko Mashiro,UNIVERSE,51,1914062,37530.6,17,[스텔라이브 클립] 저희는 예뻐요,422983,피엔나 소세지
6,아라하시 타비,Arahashi Tabi,UNIVERSE,35,1514043,43258.4,11,미친사람  #shorts  #아라하시타비 #키리누키 #스텔라이브,466400,누키누끼
7,시라유키 히나,Shirayuki Hina,UNIVERSE,32,1067367,33355.2,12,검은색임 내가봤어 #vtuber #shorts #STELLIVE #버튜버 #히나,459268,FTECLIP
8,유즈하 리코,Yuzuha Riko,CLICHE,21,955627,45506.0,11,리코 테트리스 시참 연습 중 (당시기준)테트리오 한국 1위가 들어온 건에 대하여 [유즈하 리코 클립],168815,스텔나스_팬채널
9,하나코 나나,Hanako Nana,CLICHE,29,795378,27426.8,17,ななたまロングトーン【珠乃井ナナ/切り抜き】,130811,ろこびっと【珠乃井ナナ切り抜き】
10,아오쿠모 린,Aokumo Rin,CLICHE,12,746033,62169.4,5,[린 클립] 수능 영어 지문 보고 헛구역질 하는 린,248987,피엔나 소세지
11,사키하네 후야,Sakihane Huya,EVERYS,24,67509,2812.9,3,【咲羽 風夜】日本語の画期的な秘密に気づいて興奮するフヤさん【ステライブ切り抜き/日韓字幕】,16447,すてら日和
