group,channel_id,name_ko,name_en,subscribers,total_views,video_count,created_at
StelLive,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,358000,192838755,725,2022-12-20T18:25:09.738437Z
StelLive,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,129000,49171263,316,2025-09-16T10:33:13.484328Z
StelLive,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,318000,184060001,601,2023-06-01T11:42:49.359854Z
StelLive,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,179000,57780864,416,2023-06-01T11:33:30.823588Z
StelLive,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,345000,284451127,578,2023-06-01T11:50:41.527518Z
StelLive,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,254000,177479569,769,2023-06-01T11:48:28.671861Z
홀로라이브,UC1DCedRgGHBdm81E1llLhOQ,우사다 페코라,Usada Pekora,2780000,1160666288,2704,2019-07-03T06:28:25Z
홀로라이브,UCoSrY_IQQVpmIRZ9Xf-y93g,가우르 구라,Gawr Gura,4610000,470366861,565,2020-07-16T06:25:20.801877Z
홀로라이브,UCCzUftO8KOVkV4wQG1vkUvg,호쇼 마린,Houshou Marine,4390000,2368613703,1698,2019-07-22T11:58:30Z
홀로라이브,UCL_qhgtOy0dy1Agp8vkySQg,모리 캘리오프,Mori Calliope,2620000,908799094,1881,2020-07-16T06:24:04.369666Z
홀로라이브,UCAWSyEs_Io8MtpY3m-zqILA,모모스즈 네네,Momosuzu Nene,1330000,244841006,1386,2020-04-15T10:20:06.835842Z
홀로라이브,UChAnqc_AY5_I3Px5dig3X1Q,이누가미 코로네,Inugami Korone,2280000,508160584,1496,2019-03-25T12:44:03Z
이세계아이돌,UCroM00J2ahCN6k-0-oAiDxg,아이네,Ine,359000,328384502,636,2021-08-26T19:32:19.705396Z
이세계아이돌,UCHE7GBQVtdh-c1m3tjFdevQ,징버거,Jingburger,421000,299676031,1086,2013-12-19T15:05:26Z
이세계아이돌,UC-oCJP9t47v7-DmsnmXV38Q,릴파,Lilpa,429000,344356569,1093,2021-08-23T16:21:42.181221Z
이세계아이돌,UCTifMx1ONpElK5x6B4ng8eg,주르르,Jururu,412000,262705059,802,2015-06-28T14:36:26Z
이세계아이돌,UCV9WL7sW6_KjanYkUUaIDfQ,고세구,Gosegu,538000,422406392,1105,2021-08-28T14:37:14.77342Z
이세계아이돌,UCs6EwgxKLY9GG4QNUrP5hoQ,비챤,Viichan,326000,278182734,1021,2013-11-30T10:41:41Z
