rank,group,channel_id,name_ko,name_en,subscribers,total_views,video_count,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
1,홀로라이브,UCoSrY_IQQVpmIRZ9Xf-y93g,가우르 구라,Gawr Gura,4610000,470366861,565,1249373.7,0.07286,0.8,0.271
2,홀로라이브,UCCzUftO8KOVkV4wQG1vkUvg,호쇼 마린,Houshou Marine,4390000,2368613703,1698,849576.4,0.05388,2.94,0.194
3,홀로라이브,UC1DCedRgGHBdm81E1llLhOQ,우사다 페코라,Usada Pekora,2780000,1160666288,2704,265000.8,0.05287,9.67,0.095
4,홀로라이브,UCL_qhgtOy0dy1Agp8vkySQg,모리 캘리오프,Mori Calliope,2620000,908799094,1881,176676.1,0.10146,5.21,0.067
5,홀로라이브,UChAnqc_AY5_I3Px5dig3X1Q,이누가미 코로네,Inugami Korone,2280000,508160584,1496,228029.5,0.05539,3.22,0.1
6,홀로라이브,UCAWSyEs_Io8MtpY3m-zqILA,모모스즈 네네,Momosuzu Nene,1330000,244841006,1386,121303.2,0.08409,3.56,0.091
7,이세계아이돌,UCV9WL7sW6_KjanYkUUaIDfQ,고세구,Gosegu,538000,422406392,1105,99788.4,0.05598,3.98,0.185
8,이세계아이돌,UC-oCJP9t47v7-DmsnmXV38Q,릴파,Lilpa,429000,344356569,1093,83393.0,0.06661,7.0,0.194
9,이세계아이돌,UCHE7GBQVtdh-c1m3tjFdevQ,징버거,Jingburger,421000,299676031,1086,122657.7,0.05601,5.21,0.291
10,이세계아이돌,UCTifMx1ONpElK5x6B4ng8eg,주르르,Jururu,412000,262705059,802,85532.2,0.05684,2.18,0.208
11,이세계아이돌,UCroM00J2ahCN6k-0-oAiDxg,아이네,Ine,359000,328384502,636,123784.7,0.05001,1.97,0.345
12,StelLive,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,358000,192838755,725,118953.1,0.0403,3.12,0.332
13,StelLive,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,345000,284451127,578,296244.0,0.03956,5.8,0.859
14,이세계아이돌,UCs6EwgxKLY9GG4QNUrP5hoQ,비챤,Viichan,326000,278182734,1021,46109.1,0.08729,7.81,0.141
15,StelLive,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,318000,184060001,601,166498.8,0.03762,3.83,0.524
16,StelLive,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,254000,177479569,769,173575.0,0.04013,4.14,0.683
17,StelLive,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,179000,57780864,416,88907.7,0.05066,1.93,0.497
18,StelLive,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,129000,49171263,316,89336.9,0.04592,3.69,0.693
