video_id,channel_id,group,name_ko,name_en,title,published_at,views,likes,comments
U1_WckdfZM8,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,유니는 하얀 머린데 까만 머리카락이 있네...?,2026-08-03T09:01:47Z,58049,1662,97
cbl-eMyOrgg,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,망아지가 택시 타면 생기는 일,2026-07-30T09:30:14Z,40104,1607,165
YKvPGoUpgic,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,요약 한 번 당해볼래?,2026-07-28T09:00:08Z,38200,1399,150
O0m9seBBkFg,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,✨점메추 해드립니다✨ #유니 #stellive #스텔라이브,2026-07-27T03:00:12Z,37459,2916,509
KmGi0PHUlJk,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,신난 망아지 볼 사람,2026-07-25T09:00:13Z,50941,1854,122
GiaDQPVBDsM,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,다이죠부이데쇼 😎💜  #stellive #스텔라이브 #유니,2026-07-24T03:00:35Z,370717,16222,325
8jptHIO9ubM,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,끝나지 않은 메호대전 [웃긴 축구 움짤 월드컵],2026-07-22T09:05:09Z,59435,1954,204
kol_Wov5FeA,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,유기도문 ON,2026-07-20T09:15:03Z,55720,1908,125
NI4e7uGlqTU,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,【핫클립】고소하네 후야,2026-07-16T09:00:31Z,69164,2348,134
wsBjQyblpWM,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,✨ 잘한다 잘한다 잘한다 ✨ #stellive #스텔라이브  #유니 #잘한다,2026-07-14T05:00:27Z,137538,7822,205
K7MzUWpMvHY,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,민트짱 민트짱 민트초코짱 #stellive #스텔라이브 #유니 #민트초코 #민초,2026-07-13T10:00:14Z,135775,6494,126
c8ddcexRsiU,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,아 진짜 진짜 마지막 찐막,2026-07-12T09:00:12Z,109072,2060,231
egoTEH8teX0,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,아 르 냥 일 어 나 🕗 !! #stellive #스텔라이브 #유니 #알람,2026-07-09T23:00:24Z,545662,16434,286
j9csrxAsdys,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,부적! 구스루! 부적! 구스루! 쿠나이! 힐! 힐! 쿠나이!,2026-07-08T09:00:36Z,68847,2065,146
4o_FH4v1c2A,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,순진한 외노자 놀려먹기,2026-07-04T09:00:16Z,66779,2194,193
Aeh8W9X7xgI,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,3초 준다 나와라! [MECCHA CHAMELEON],2026-06-30T09:00:04Z,105293,2523,118
z_ikisAde44,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,【핫클립】한글패치 누가 했냐,2026-06-27T09:00:35Z,156774,3654,215
_GtqXRMM9ik,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,오늘만을 기다렸다...,2026-06-25T09:00:35Z,222954,4386,327
j-tpT7Qsaag,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,떠꾸꾸꾸 미여꾸꾸꾸 만두꾸꾸 [한식 월드컵],2026-06-22T09:00:25Z,116118,3487,445
VLZ9fTfDTRU,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,정상이 없네 ...,2026-06-19T09:00:30Z,60540,2025,97
uj3YFYiq54g,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,유니를 따라와 내일을 향해! 계속 함께할 테니까💜 I STAR TRAIL,2026-06-19T08:08:11Z,94590,7769,291
1tnc3DNZfoc,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,안된다 안카나,2026-06-16T09:00:04Z,213288,4183,1305
mNXi5zutJLI,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,한창 어흐가 좋을 나이,2026-06-13T09:00:27Z,68422,2345,142
-H9YmskznXg,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,★식사 중 시청 권장★ 역대급 귀여운(?) 벌레 월드컵,2026-06-11T03:00:16Z,94170,2708,308
foA_wl3pvrI,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,아르냥이 준 생일 선물에 수상한 내용이 있다,2026-06-08T09:00:05Z,74680,2783,208
dT3G4Xpyfa8,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,How tall are you? 😎 #스텔라이브 #stellive #유니,2026-06-06T09:00:20Z,125940,6947,208
lThphYM6TQA,UClbYIn9LDbbFZ9w2shX3K0g,StelLive,아야츠노 유니,Ayatsuno Yuni,루카루카★나이트 피버 💜 ルカルカ★ナイトフィーバー #스텔라이브 #stellive #유니 #루카루카,2026-06-05T10:00:38Z,85036,4996,141
