rank_subs,channel_id,name_ko,name_en,unit,role,handle,subscribers,total_views,video_count,created_at,channel_age_years,recent_n,recent_avg_views,recent_median_views,recent_max_views,recent_avg_engagement_rate,recent_avg_like_rate,uploads_per_week,uploads_per_month,shorts_share,reach_ratio,lifetime_views_per_sub,lifetime_views_per_video
1,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,EVERYS,talent,ayatsunoyuni,361000,196858292,738,2022-12-20T18:25:09.738437Z,3.72,50,127827.5,86398.5,682796,0.03629,0.0338,2.93,12.75,0.18,0.354,545.3,266745.7
2,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,UNIVERSE,talent,akanelize,355000,303478442,604,2023-06-01T11:50:41.527518Z,3.28,50,299019.3,217999.0,1741449,0.03297,0.03165,5.2,22.6,0.4,0.842,854.9,502447.8
3,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,UNIVERSE,talent,shirayukihina,320000,192926939,617,2023-06-01T11:42:49.359854Z,3.28,50,198235.9,111487.0,1185079,0.03619,0.03416,3.54,15.38,0.38,0.619,602.9,312685.5
4,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,Aokumo Rin,CLICHE,talent,aokumorin,283000,188178880,442,2024-05-14T10:09:58.99504Z,2.32,50,185974.8,105912.0,1877716,0.03562,0.03394,4.23,18.41,0.22,0.657,664.9,425744.1
5,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,UNIVERSE,talent,arahashitabi,261000,187425829,788,2023-06-01T11:48:28.671861Z,3.28,50,197834.7,114769.0,1386045,0.03383,0.03196,4.08,17.76,0.18,0.758,718.1,237850.0
6,UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,Tenko Shibuki,CLICHE,talent,tenkoshibuki,229000,197375031,622,2024-05-14T10:02:13.057547Z,2.32,50,198862.7,144329.0,1083909,0.04207,0.04068,6.6,28.68,0.48,0.868,861.9,317323.2
7,UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,Yuzuha Riko,CLICHE,talent,yuzuhariko,221000,183685689,572,2024-05-14T10:16:40.978487Z,2.32,50,296333.3,173981.0,1452772,0.03537,0.03379,5.62,24.45,0.4,1.341,831.2,321128.8
8,UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,Hanako Nana,CLICHE,talent,hanako_nana,206000,157415562,494,2024-05-14T10:18:50.368619Z,2.32,50,184150.9,119777.5,992989,0.04339,0.04167,5.91,25.72,0.52,0.894,764.2,318655.0
9,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,UNIVERSE,talent,neneko_mashiro,184000,61479118,426,2023-06-01T11:33:30.823588Z,3.28,50,110323.0,66458.5,704485,0.0453,0.04263,1.97,8.57,0.08,0.6,334.1,144317.2
10,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,EVERYS,talent,sakihanechannel,134000,53003483,337,2025-09-16T10:33:13.484328Z,0.98,50,113645.4,82840.0,402757,0.04168,0.03978,3.61,15.7,0.26,0.848,395.5,157280.4
