date,name_ko,unit,subscribers,total_views,video_count,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
2026-08-12,강지,STELLIVE,761000,931269746,2256,229895.9,0.03025,4.29,0.302
2026-08-12,네네코 마시로,UNIVERSE,180000,58144100,417,83392.5,0.04967,1.96,0.463
2026-08-12,사키하네 후야,EVERYS,130000,49868316,322,110608.1,0.04508,4.18,0.851
2026-08-12,시라유키 히나,UNIVERSE,319000,185681032,604,219982.6,0.03926,3.77,0.69
2026-08-12,아라하시 타비,UNIVERSE,255000,178843581,771,176265.0,0.03848,4.23,0.691
2026-08-12,아야츠노 유니,EVERYS,358000,193441560,727,131268.6,0.03899,2.7,0.367
2026-08-12,아오쿠모 린,CLICHE,276000,177561097,427,181030.8,0.04179,4.9,0.656
2026-08-12,아카네 리제,UNIVERSE,347000,287391854,584,267479.0,0.04073,5.72,0.771
2026-08-12,유즈하 리코,CLICHE,214000,169607243,554,256652.8,0.04443,6.24,1.199
2026-08-12,텐코 시부키,CLICHE,224000,186415500,596,222675.5,0.04012,6.73,0.994
2026-08-12,하나코 나나,CLICHE,201000,146708202,468,162293.5,0.0477,4.7,0.807
2026-08-13,강지,STELLIVE,761000,932202307,2256,243435.1,0.02852,4.29,0.32
2026-08-13,네네코 마시로,UNIVERSE,180000,58231562,417,83888.7,0.04949,1.96,0.466
2026-08-13,사키하네 후야,EVERYS,130000,50119817,322,113543.7,0.04388,4.18,0.873
2026-08-13,시라유키 히나,UNIVERSE,319000,186083249,604,222183.7,0.03634,3.77,0.697
2026-08-13,아라하시 타비,UNIVERSE,255000,179172595,772,176852.1,0.03868,4.23,0.694
2026-08-13,아야츠노 유니,EVERYS,358000,193576005,727,132338.9,0.03885,2.7,0.37
2026-08-13,아오쿠모 린,CLICHE,277000,178205798,428,185325.2,0.0409,4.9,0.669
2026-08-13,아카네 리제,UNIVERSE,348000,288328062,584,275958.4,0.03882,5.72,0.793
2026-08-13,유즈하 리코,CLICHE,214000,170298904,555,262136.3,0.04075,6.24,1.225
2026-08-13,텐코 시부키,CLICHE,225000,187060599,598,226120.9,0.0406,6.73,1.005
2026-08-13,하나코 나나,CLICHE,201000,147250771,470,161345.8,0.0468,4.7,0.803
2026-08-14,강지,STELLIVE,761000,932503855,2256,244764.0,0.02848,4.29,0.322
2026-08-14,네네코 마시로,UNIVERSE,180000,58285026,418,82882.0,0.05071,1.97,0.46
2026-08-14,사키하네 후야,EVERYS,130000,50246448,323,115170.1,0.04362,4.13,0.886
2026-08-14,시라유키 히나,UNIVERSE,319000,186290081,604,223147.4,0.03615,3.77,0.7
2026-08-14,아라하시 타비,UNIVERSE,255000,179385257,772,178461.1,0.03839,4.23,0.7
2026-08-14,아야츠노 유니,EVERYS,359000,193657443,728,132500.3,0.03918,2.77,0.369
2026-08-14,아오쿠모 린,CLICHE,277000,178570926,428,187822.6,0.04051,4.9,0.678
2026-08-14,아카네 리제,UNIVERSE,348000,288794350,585,279024.6,0.03866,5.53,0.802
2026-08-14,유즈하 리코,CLICHE,215000,170676813,556,263524.8,0.04116,6.24,1.226
2026-08-14,텐코 시부키,CLICHE,225000,187337129,600,223573.0,0.04223,6.73,0.994
2026-08-14,하나코 나나,CLICHE,201000,147418077,471,164436.9,0.0468,4.83,0.818
2026-08-15,강지,STELLIVE,761000,932790757,2257,246258.6,0.02847,4.29,0.324
2026-08-15,네네코 마시로,UNIVERSE,180000,58361871,418,83270.8,0.05019,1.97,0.463
2026-08-15,사키하네 후야,EVERYS,130000,50455902,323,116481.7,0.04345,4.13,0.896
2026-08-15,시라유키 히나,UNIVERSE,319000,186536518,604,224119.6,0.036,3.77,0.703
2026-08-15,아라하시 타비,UNIVERSE,256000,179640701,772,179988.0,0.03825,4.23,0.703
2026-08-15,아야츠노 유니,EVERYS,359000,193835498,728,133996.6,0.03882,2.77,0.373
2026-08-15,아오쿠모 린,CLICHE,277000,178988039,428,190158.5,0.04024,4.9,0.686
2026-08-15,아카네 리제,UNIVERSE,348000,289423540,586,282123.8,0.03828,5.53,0.811
2026-08-15,유즈하 리코,CLICHE,215000,171210144,556,267370.0,0.04045,6.24,1.244
2026-08-15,텐코 시부키,CLICHE,225000,187806678,601,227934.9,0.04206,6.73,1.013
2026-08-15,하나코 나나,CLICHE,202000,147957538,472,165977.1,0.04654,4.97,0.822
2026-08-16,강지,STELLIVE,761000,933099460,2258,248424.1,0.02847,4.34,0.326
2026-08-16,네네코 마시로,UNIVERSE,180000,58413423,418,83567.7,0.05001,1.97,0.464
2026-08-16,사키하네 후야,EVERYS,130000,50524868,323,117335.1,0.04334,4.13,0.903
2026-08-16,시라유키 히나,UNIVERSE,320000,186700561,605,209314.8,0.03675,3.73,0.654
2026-08-16,아라하시 타비,UNIVERSE,256000,179855292,773,180336.9,0.03853,4.18,0.704
2026-08-16,아야츠노 유니,EVERYS,359000,193927055,728,134715.2,0.03874,2.77,0.375
2026-08-16,아오쿠모 린,CLICHE,278000,179249499,429,188402.1,0.04039,4.76,0.678
2026-08-16,아카네 리제,UNIVERSE,349000,290081657,587,285262.4,0.03832,5.53,0.817
2026-08-16,유즈하 리코,CLICHE,215000,171530823,557,270065.2,0.04044,6.12,1.256
2026-08-16,텐코 시부키,CLICHE,225000,188226532,602,229495.6,0.04121,6.86,1.02
2026-08-16,하나코 나나,CLICHE,202000,148180439,472,169226.3,0.04847,4.9,0.838
2026-08-17,강지,STELLIVE,762000,933548495,2259,250241.6,0.0289,4.34,0.328
2026-08-17,네네코 마시로,UNIVERSE,181000,58468524,418,83858.9,0.04987,1.97,0.463
2026-08-17,사키하네 후야,EVERYS,130000,50590177,324,117652.2,0.04367,3.99,0.905
2026-08-17,시라유키 히나,UNIVERSE,320000,187039792,605,210733.4,0.03649,3.73,0.659
2026-08-17,아라하시 타비,UNIVERSE,256000,180137408,773,181967.6,0.03824,4.18,0.711
2026-08-17,아야츠노 유니,EVERYS,359000,194014670,728,135280.1,0.03867,2.77,0.377
2026-08-17,아오쿠모 린,CLICHE,278000,179588396,429,190485.7,0.04002,4.76,0.685
2026-08-17,아카네 리제,UNIVERSE,349000,290517413,588,284093.7,0.0385,5.53,0.814
2026-08-17,유즈하 리코,CLICHE,215000,171920004,557,272808.0,0.04005,6.12,1.269
2026-08-17,텐코 시부키,CLICHE,225000,188553903,603,232042.7,0.04166,6.86,1.031
2026-08-17,하나코 나나,CLICHE,202000,148476322,472,171419.6,0.04739,4.9,0.849
2026-08-18,강지,STELLIVE,762000,933949639,2260,250346.8,0.02953,4.34,0.329
2026-08-18,네네코 마시로,UNIVERSE,181000,58520061,418,84092.8,0.04978,1.97,0.465
2026-08-18,사키하네 후야,EVERYS,131000,50681596,324,118652.0,0.04326,3.99,0.906
2026-08-18,시라유키 히나,UNIVERSE,320000,187243061,605,211766.2,0.03634,3.73,0.662
2026-08-18,아라하시 타비,UNIVERSE,256000,180402113,774,182472.2,0.03848,4.23,0.713
2026-08-18,아야츠노 유니,EVERYS,359000,194094326,729,127797.2,0.03882,2.77,0.356
2026-08-18,아오쿠모 린,CLICHE,278000,179882245,429,192253.6,0.03979,4.76,0.692
2026-08-18,아카네 리제,UNIVERSE,349000,291056186,588,287155.2,0.03814,5.53,0.823
2026-08-18,유즈하 리코,CLICHE,216000,172255498,557,275240.7,0.03971,6.12,1.274
2026-08-18,텐코 시부키,CLICHE,226000,188991394,603,235347.3,0.0412,6.86,1.041
2026-08-18,하나코 나나,CLICHE,202000,148710528,473,173064.0,0.04697,4.97,0.857
2026-08-19,강지,STELLIVE,762000,934345055,2261,247651.5,0.02953,4.4,0.325
2026-08-19,네네코 마시로,UNIVERSE,181000,58563133,418,84302.4,0.04968,1.97,0.466
2026-08-19,사키하네 후야,EVERYS,131000,50743991,325,114149.0,0.04423,4.04,0.871
2026-08-19,시라유키 히나,UNIVERSE,320000,187429377,605,212519.7,0.03623,3.73,0.664
2026-08-19,아라하시 타비,UNIVERSE,257000,180642165,775,184087.8,0.03858,4.23,0.716
2026-08-19,아야츠노 유니,EVERYS,359000,194197063,729,128354.8,0.03868,2.77,0.358
2026-08-19,아오쿠모 린,CLICHE,278000,180148123,430,188304.6,0.03995,4.57,0.677
2026-08-19,아카네 리제,UNIVERSE,350000,291414802,589,284014.0,0.0381,5.44,0.811
2026-08-19,유즈하 리코,CLICHE,216000,172554335,558,277715.6,0.03916,6.12,1.286
2026-08-19,텐코 시부키,CLICHE,226000,189222018,604,233802.1,0.04118,6.86,1.035
2026-08-19,하나코 나나,CLICHE,202000,148955824,474,174211.8,0.04694,4.97,0.862
