rank,channel_id,name_ko,name_en,unit,cover_count,song_count,total_views,topic_views,total_views_incl_topic,avg_views,avg_views_per_song,median_views,max_views,best_cover,total_likes,avg_engagement_rate,collab_share
1,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,UNIVERSE,40,38,112000202,0,112000202,2800005.0,2947373.7,1723167.5,14613694,출항 [抜錨(발묘) / 나나호시 관현악단 ナナホシ管弦楽団] ㅣ아카네 리제(Akane Lize) 【COVER】,1014160,0.01714,0.075
2,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,Aokumo Rin,CLICHE,56,52,89189065,0,89189065,1592661.9,1715174.3,1208952.5,5197727,유령도쿄(Ayase) / 아오쿠모 린(Aokumo Rin) Cover,1030412,0.02034,0.214
3,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,UNIVERSE,49,44,65397175,0,65397175,1334636.2,1486299.4,992504.0,8076146,낙향(都落ち) / 시라유키 히나 Cover,706504,0.02248,0.082
4,UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,Yuzuha Riko,CLICHE,61,56,63293709,0,63293709,1037601.8,1130244.8,734367.0,3437487,케세라세라 (Mrs. GREEN APPLE)  / 유즈하 리코(Yuzuha Riko) cover,814484,0.02816,0.131
5,UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,Hanako Nana,CLICHE,48,42,59081712,0,59081712,1230869.0,1406707.4,725865.5,5554648,비행정 [飛行艇 - King Gnu] / 하나코 나나 COVER,840674,0.02439,0.146
6,UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,Tenko Shibuki,CLICHE,37,34,43594596,0,43594596,1178232.3,1282194.0,476282.0,7332898,너에게 메롱(一二三) / 텐코 시부키(Tenko Shibuki) cover,551838,0.0281,0.108
7,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,UNIVERSE,24,23,28864037,0,28864037,1202668.2,1254958.1,928444.0,3995200,낮에 뜨는 달 ( 안예은 ) / 아라하시 타비 Cover,332252,0.01736,0.083
8,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,EVERYS,15,15,15253883,0,15253883,1016925.5,1016925.5,787478.0,2976844,【아야츠노 유니 X 아이리 칸나】 점묘의 노래 (点描の唄) | Cover,179104,0.01682,0.133
9,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,UNIVERSE,21,21,14904798,0,14904798,709752.3,709752.3,525829.0,2256099,Pale (MIMI) / 네네코 마시로 Cover,186147,0.025,0.143
10,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,EVERYS,7,7,3908598,0,3908598,558371.1,558371.1,408596.0,1444475,별자리가 될 수 있다면 (星座になれたら) l 사키하네 후야(Sakihane Huya) Cover,94121,0.03181,0.143
