video_id,channel_id,name_ko,name_en,unit,title,published_at,views,likes,comments,is_collab
m5XU_4r1yV0,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,하나 둘 팬클럽 (いーあるふぁんくらぶ)ㅣ네네코 마시로 x 강지 Cover,2025-08-06T03:00:06Z,587454,12767.0,825.0,True
y_G0NGdNMvc,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지X버니버니】 베텔기우스 ベテルギウス cover,2022-07-27T03:00:14Z,1398201,16373.0,972.0,False
I0x6pQWUe7c,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】팬서비스 (ファンサ) ー Cover,2022-05-04T07:44:53Z,739228,8870.0,491.0,False
LLSLauEge0s,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,팬들과 함께한 - 그랜드 이스케이프 cover,2021-12-25T06:45:13Z,730165,11266.0,483.0,False
oWdHhGpWXO8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"【강지】 나, 아이돌 선언! (私、アイドル宣言) Korean Cover",2021-09-28T11:00:20Z,815380,12994.0,1006.0,False
xEKkNNQoZh8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지X단즈】 인도어계라면 트랙메이커 インドア系ならトラックメイカー Cover,2021-09-14T12:00:10Z,658083,10293.0,754.0,False
vxm9jYJfPt8,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】 그저 네게 맑아라 (ただ君に晴れ) COVER,2021-08-31T04:22:40Z,1627380,19410.0,1086.0,False
gMV8zSy1jlQ,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,팬들과 함께한 - 촛불하나(GOD) cover,2020-12-25T07:00:11Z,1639987,27982.0,2322.0,False
OOmL3rFei3E,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】 SeeU - 우산 어쿠스틱 cover,2020-04-17T07:26:42Z,1279925,17983.0,1990.0,False
psEqVJxGyCo,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,"폴킴 - 모든 날, 모든 순간 cover 강지",2019-11-12T14:45:26Z,863669,13041.0,1455.0,False
1qKEf4xZUoo,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지X김블루】 밤과 별의 노래 - 온유 & 이진아 (COVER),2019-05-11T07:00:13Z,3837835,59796.0,10211.0,False
5T_UR6CkJec,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】호시아이(ホシアイ) Korean COVER,2019-03-14T07:05:51Z,2246538,19013.0,2105.0,False
I1Fjr9BwIag,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】세계는 사랑에 빠져있어(世界は恋に落ちている )Korean COVER,2019-02-28T08:08:51Z,1226957,14079.0,2030.0,False
rd2IJ3Ep02k,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】*.Letter Song.* 「Korean Cover」,2018-11-28T07:00:02Z,4322290,35955.0,4781.0,False
MHPTHq7JZc4,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,【강지】빗소리 잔향 「Korean Cover」,2018-11-15T06:21:31Z,845589,9726.0,1337.0,False
