date,name_ko,unit,cover_count,total_views,avg_views,total_likes,avg_engagement_rate
2026-08-12,강지,STELLIVE,26,62905455,2419440.6,619294,0.01325
2026-08-12,네네코 마시로,UNIVERSE,19,13141990,691683.7,159904,0.025
2026-08-12,사키하네 후야,EVERYS,6,3037041,506173.5,78944,0.03658
2026-08-12,시라유키 히나,UNIVERSE,48,61204563,1275095.1,679774,0.02357
2026-08-12,아라하시 타비,UNIVERSE,22,25228742,1146761.0,291124,0.01827
2026-08-12,아야츠노 유니,EVERYS,15,14559737,970649.1,175589,0.01769
2026-08-12,아오쿠모 린,CLICHE,56,80999749,1446424.1,987313,0.02375
2026-08-12,아카네 리제,UNIVERSE,40,102364287,2559107.2,970641,0.01984
2026-08-12,유즈하 리코,CLICHE,58,56024764,965944.2,748445,0.03242
2026-08-12,텐코 시부키,CLICHE,36,39292460,1091457.2,520704,0.02996
2026-08-12,하나코 나나,CLICHE,36,51389960,1427498.9,724424,0.02219
2026-08-13,강지,STELLIVE,26,62923006,2420115.6,619419,0.01324
2026-08-13,네네코 마시로,UNIVERSE,19,13171607,693242.5,160072,0.02494
2026-08-13,사키하네 후야,EVERYS,6,3053304,508884.0,79062,0.03633
2026-08-13,시라유키 히나,UNIVERSE,48,61361522,1278365.0,680544,0.02352
2026-08-13,아라하시 타비,UNIVERSE,22,25306563,1150298.3,291533,0.0182
2026-08-13,아야츠노 유니,EVERYS,15,14588663,972577.5,175712,0.01764
2026-08-13,아오쿠모 린,CLICHE,56,81344890,1452587.3,990484,0.02293
2026-08-13,아카네 리제,UNIVERSE,40,102770650,2569266.2,972848,0.01942
2026-08-13,유즈하 리코,CLICHE,58,56278507,970319.1,750510,0.03173
2026-08-13,텐코 시부키,CLICHE,36,39445585,1095710.7,521513,0.02986
2026-08-13,하나코 나나,CLICHE,36,51566143,1432392.9,725540,0.02174
2026-08-14,강지,STELLIVE,26,62932821,2420493.1,619495,0.01324
2026-08-14,네네코 마시로,UNIVERSE,19,13187761,694092.7,160162,0.02491
2026-08-14,사키하네 후야,EVERYS,6,3060623,510103.8,79103,0.03622
2026-08-14,시라유키 히나,UNIVERSE,48,61439721,1279994.2,681013,0.0235
2026-08-14,아라하시 타비,UNIVERSE,22,25348085,1152185.7,291787,0.01816
2026-08-14,아야츠노 유니,EVERYS,15,14604096,973606.4,175800,0.01762
2026-08-14,아오쿠모 린,CLICHE,56,81512963,1455588.6,991970,0.02278
2026-08-14,아카네 리제,UNIVERSE,40,102990836,2574770.9,974209,0.0193
2026-08-14,유즈하 리코,CLICHE,58,56397870,972377.1,751496,0.03157
2026-08-14,텐코 시부키,CLICHE,36,39520921,1097803.4,522000,0.02982
2026-08-14,하나코 나나,CLICHE,36,51651510,1434764.2,726274,0.02162
2026-08-15,강지,STELLIVE,26,62942230,2420855.0,619620,0.01324
2026-08-15,네네코 마시로,UNIVERSE,19,13203334,694912.3,160282,0.02489
2026-08-15,사키하네 후야,EVERYS,6,3067970,511328.3,79167,0.03613
2026-08-15,시라유키 히나,UNIVERSE,48,61514704,1281556.3,681471,0.02347
2026-08-15,아라하시 타비,UNIVERSE,22,25387377,1153971.7,292085,0.01813
2026-08-15,아야츠노 유니,EVERYS,15,14618976,974598.4,175930,0.01761
2026-08-15,아오쿠모 린,CLICHE,56,81668203,1458360.8,993325,0.02267
2026-08-15,아카네 리제,UNIVERSE,40,103188311,2579707.8,975689,0.0192
2026-08-15,유즈하 리코,CLICHE,58,56512862,974359.7,752517,0.03144
2026-08-15,텐코 시부키,CLICHE,36,39595678,1099879.9,522533,0.02977
2026-08-15,하나코 나나,CLICHE,37,51732610,1398178.6,727476,0.02151
2026-08-16,강지,STELLIVE,26,62951566,2421214.1,619668,0.01324
2026-08-16,네네코 마시로,UNIVERSE,19,13217979,695683.1,160389,0.02487
2026-08-16,사키하네 후야,EVERYS,6,3075083,512513.8,79223,0.03604
2026-08-16,시라유키 히나,UNIVERSE,48,61583716,1282994.1,681962,0.02345
2026-08-16,아라하시 타비,UNIVERSE,22,25420878,1155494.5,292429,0.01811
2026-08-16,아야츠노 유니,EVERYS,15,14632047,975469.8,176056,0.01759
2026-08-16,아오쿠모 린,CLICHE,56,81804632,1460797.0,994508,0.02258
2026-08-16,아카네 리제,UNIVERSE,40,103350566,2583764.2,976987,0.01914
2026-08-16,유즈하 리코,CLICHE,58,56612303,976074.2,753421,0.03135
2026-08-16,텐코 시부키,CLICHE,36,39659475,1101652.1,522970,0.02974
2026-08-16,하나코 나나,CLICHE,37,51865786,1401778.0,736030,0.02505
2026-08-17,강지,STELLIVE,26,62960755,2421567.5,619719,0.01324
2026-08-17,네네코 마시로,UNIVERSE,19,13232988,696473.1,160504,0.02485
2026-08-17,사키하네 후야,EVERYS,6,3082689,513781.5,79290,0.03594
