video_id,topic_channel_id,name_ko,name_en,unit,title,published_at,views,likes,paired_video_id,pair_reason,date,is_instrumental
Xj51Bpmx9B8,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,가슴은 알죠,2026-08-13T03:05:13Z,37,1,,unpaired,2026-08-13,False
xeBH_IysMYc,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,당신께만,2026-08-13T03:04:58Z,30,1,,unpaired,2026-08-13,False
CVPKHjPU9vg,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,나는야 간판쟁이 (Instrumental),2026-03-16T03:04:15Z,53,2,,unpaired,2026-03-16,True
FRpv33C3ZC4,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,야상(夜想),2026-03-16T03:03:34Z,312,8,,unpaired,2026-03-16,False
I6ekDGogXqc,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,나는야 간판쟁이,2026-03-16T03:03:04Z,674,19,,unpaired,2026-03-16,False
vfIx19xg6wU,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,단심(丹心),2026-03-16T03:02:18Z,324,10,,unpaired,2026-03-16,False
oda4haY7mZY,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,단심(丹心) (Instrumental),2026-03-16T03:02:14Z,84,3,,unpaired,2026-03-16,True
bxvrwdcXpDQ,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,야상(夜想) (Instrumental),2026-03-16T03:01:58Z,20,3,,unpaired,2026-03-16,True
UbE6yq8oQOs,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,우린너무쉽게헤어졌어요,2024-02-22T03:04:52Z,141,4,,unpaired,2024-02-22,False
rCkuQx6Fkog,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,소원,2024-02-22T03:04:42Z,104,1,,unpaired,2024-02-22,False
7NKEp2NchtU,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,해후,2024-02-22T03:04:23Z,141,3,,unpaired,2024-02-22,False
cEVhgv73jIA,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,떠나가는배,2024-02-22T03:04:09Z,219,4,,unpaired,2024-02-22,False
E8ye8_ylaWI,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,한송이국화,2024-02-22T03:04:01Z,98,0,,unpaired,2024-02-22,False
HGhmDvMnQ4k,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,백년의약속,2024-02-22T03:03:44Z,131,0,,unpaired,2024-02-22,False
V88NeZ1JKTQ,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,라일락이질때,2024-02-22T03:03:42Z,151,1,,unpaired,2024-02-22,False
M66EZtS9RGg,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,여심,2024-02-22T03:03:38Z,124,2,,unpaired,2024-02-22,False
juYwda5DcoI,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,기다리는아픔,2024-02-22T03:03:34Z,813,6,,unpaired,2024-02-22,False
WVGyF_VK15Y,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,그여자가가는곳은,2024-02-22T03:03:21Z,178,1,,unpaired,2024-02-22,False
qeDoURZkeXI,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,자존심을두고떠나라,2024-02-22T03:03:14Z,52,1,,unpaired,2024-02-22,False
oCsPvD3rujU,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,지금,2024-02-22T03:02:31Z,179,0,,unpaired,2024-02-22,False
qtu7WXo3p7c,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,갈무리,2024-02-22T03:01:13Z,125,0,,unpaired,2024-02-22,False
XMo7cXIuS9k,UCtilUlvmcHOcbvAY4DRCaYw,강지,Kangji,STELLIVE,My Love Gum (Instrumental),2017-06-29T04:59:15Z,456,8,,unpaired,2017-06-29,True
