date,name_ko,unit,followers,stream_count,streams_per_week,avg_duration_h,hours_per_week,night_share,avg_vod_views
2026-08-12,강지,STELLIVE,287156,300,5.02,6.28,31.6,0.293,3134
2026-08-12,네네코 마시로,UNIVERSE,209823,300,5.2,4.76,24.7,0.237,3108
2026-08-12,사키하네 후야,EVERYS,156746,243,5.23,5.19,27.1,0.399,3450
2026-08-12,시라유키 히나,UNIVERSE,236847,300,5.48,5.93,32.5,0.707,4711
2026-08-12,아라하시 타비,UNIVERSE,255327,300,5.24,7.14,37.4,0.643,5395
2026-08-12,아야츠노 유니,EVERYS,301924,300,5.4,6.37,34.4,0.477,3899
2026-08-12,아오쿠모 린,CLICHE,219108,300,4.54,4.48,20.3,0.643,3793
2026-08-12,아카네 리제,UNIVERSE,252900,300,4.7,5.07,23.8,0.653,3795
2026-08-12,유즈하 리코,CLICHE,209340,300,4.77,6.79,32.4,0.647,4335
2026-08-12,텐코 시부키,CLICHE,241119,300,5.02,6.99,35.1,0.8,6819
2026-08-12,하나코 나나,CLICHE,207431,300,4.22,5.24,22.1,0.49,3878
2026-08-13,강지,STELLIVE,287636,300,5.01,6.27,31.4,0.293,3134
2026-08-13,네네코 마시로,UNIVERSE,209997,300,5.22,4.76,24.9,0.237,3114
2026-08-13,사키하네 후야,EVERYS,156947,244,5.24,5.19,27.2,0.398,3445
2026-08-13,시라유키 히나,UNIVERSE,237074,300,5.44,5.92,32.2,0.71,4700
2026-08-13,아라하시 타비,UNIVERSE,255570,300,5.24,7.14,37.4,0.643,5414
2026-08-13,아야츠노 유니,EVERYS,302090,300,5.38,6.36,34.2,0.47,3893
2026-08-13,아오쿠모 린,CLICHE,219500,300,4.54,4.48,20.3,0.647,3781
2026-08-13,아카네 리제,UNIVERSE,253183,300,4.72,5.02,23.7,0.647,3767
2026-08-13,유즈하 리코,CLICHE,209677,300,4.76,6.81,32.4,0.65,4334
2026-08-13,텐코 시부키,CLICHE,241457,300,5.02,6.98,35.1,0.8,6778
2026-08-13,하나코 나나,CLICHE,207755,300,4.23,5.25,22.2,0.49,3860
2026-08-14,강지,STELLIVE,287698,300,5.01,6.27,31.4,0.293,3141
2026-08-14,네네코 마시로,UNIVERSE,210114,300,5.21,4.77,24.9,0.237,3117
2026-08-14,사키하네 후야,EVERYS,157028,245,5.23,5.18,27.1,0.396,3436
2026-08-14,시라유키 히나,UNIVERSE,237203,300,5.45,5.92,32.3,0.707,4695
