rank,name_ko,name_en,unit,followers,stream_count,span_days,streams_per_week,avg_duration_h,median_duration_h,total_hours,hours_per_week,avg_start_hour,night_share,game_share,talk_share,top_category,avg_vod_views
1,아라하시 타비,Arahashi Tabi,UNIVERSE,261397,300,399,5.26,7.29,7.81,2188.1,38.4,6.5,0.657,0.493,0.487,talk,5498
2,텐코 시부키,Tenko Shibuki,CLICHE,245916,300,420,5.0,7.0,7.04,2101.0,35.0,4.9,0.8,0.693,0.277,talk,6764
3,아야츠노 유니,Ayatsuno Yuni,EVERYS,306377,300,385,5.45,6.35,6.1,1904.1,34.6,9.5,0.46,0.243,0.557,talk,3911
4,시라유키 히나,Shirayuki Hina,UNIVERSE,239703,300,366,5.74,5.96,5.53,1786.6,34.2,6.8,0.703,0.363,0.577,talk,5840
5,유즈하 리코,Yuzuha Riko,CLICHE,215353,300,436,4.82,6.85,7.15,2055.8,33.0,8.0,0.657,0.363,0.603,talk,4495
6,사키하네 후야,Sakihane Huya,EVERYS,163765,261,353,5.18,5.06,5.53,1319.6,26.2,13.2,0.383,0.303,0.69,talk,3586
7,네네코 마시로,Neneko Mashiro,UNIVERSE,215301,300,400,5.25,4.79,5.36,1437.5,25.2,16.3,0.227,0.417,0.483,talk,3317
8,아카네 리제,Akane Lize,UNIVERSE,258967,300,445,4.72,4.97,5.41,1490.3,23.4,7.9,0.653,0.52,0.453,talk,3711
9,하나코 나나,Hanako Nana,CLICHE,213538,300,495,4.24,5.25,5.24,1576.0,22.3,10.6,0.513,0.73,0.193,talk,3924
10,아오쿠모 린,Aokumo Rin,CLICHE,225480,300,459,4.58,4.62,4.53,1385.5,21.1,8.2,0.653,0.877,0.1,마인크래프트,3906
