rank,clip_channel_id,clip_channel_title,subs,clip_count,total_views,members_covered,primary_member
1,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,10100,7,3311717,2,강지
2,UCa3ZJe1WGlUcjROMB8K6ArQ,서트 클립 Surt Clip,4830,3,2276828,3,네네코 마시로
3,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,10200,28,2052895,9,유즈하 리코
4,UCGNCf6ibX1HWndVRgiChpqw,트박스 Twitch clips box,165000,2,2014720,1,강지
5,UCEBJV6V99ZJn_BnfkAoMyBA,피엔나야 클립따줘,5250,9,1705764,2,아카네 리제
6,UC9FG2tCnbH2Kv2xzAudio3Q,누키누끼,4710,4,1546401,3,텐코 시부키
7,UC8lS0RitnJdDRGyRyibeYXw,이로이로_키리누키,674,2,1070695,1,아야츠노 유니
8,UCsP0y17RblrrGzmlaSAAc4g,Hot Clip,38,1,1012811,1,네네코 마시로
9,UC7Jv6AQNgOuptD-sMKl8AQw,별조각편집소,7880,2,636004,1,텐코 시부키
10,UCLSNL6b6LtfuzuD7sErgATQ,이세아클립 IseaClip,960,2,519967,1,시라유키 히나
11,UCUX0sVHjvyeXBgIlKKSzN5Q,시로 캣타워,3560,12,501220,3,네네코 마시로
12,UCXJxEy7Wv6tGfmnwuZwCHwA,FTECLIP,6300,2,466439,2,시라유키 히나
13,UCg00BEW3e3HmnNLBWViFPeA,부키리누키,655,1,397198,1,텐코 시부키
14,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,5320,17,395775,6,유즈하 리코
15,UCRipF7KE5WnUEteUfRiBffA,스텔라이브 팬클립,6000,2,375570,1,아야츠노 유니
16,UC8CspoD95Eon_mjg6fl2_sQ,타비 클립 창고,5210,25,358642,3,아라하시 타비
17,UChnbdHiRuV1Z7JaYsO688zA,키리누키 따는 도깨비,2390,5,314487,2,네네코 마시로
18,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,4510,47,268281,8,사키하네 후야
19,UCTT1PoV8qhCMlG_gxwriLww,모듬클립,1230,1,242396,1,아야츠노 유니
