video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
LhbCw8DdGAM,UCUabLHvc9nSaRnjppK5zepg,조선누룽지,강지,Kangji,STELLIVE,스텔라이브 사장 강지 키리누키 금지 논란 #버튜버 #vtuber,2024-12-30T04:36:51Z,2792,21.0,2.0,7590
-EFb61f63Ds,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,강지 놀리다 사냥 당하는 부키,2025-05-29T09:00:01Z,37870,511.0,15.0,10100
a9IBIsaJGnU,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,강지,Kangji,STELLIVE,복귀 방송 중 강지님 채팅에 울컥한 시부키 [부키] #스텔라이브 #버튜버 #키리누키 ,2026-05-09T22:45:00Z,66121,1390.0,88.0,1840
oCdyZbI0A8Q,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,부키 알림을 강지가 해준다면?,2025-12-23T09:30:28Z,21583,330.0,9.0,10100
KGWrYKbr1Q4,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,강지는 말로 하지 않아. #스텔라이브 #vtuber,2025-05-30T11:00:38Z,380379,3942.0,29.0,10100
ozX-_zSE2lw,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,강지,Kangji,STELLIVE,??? : 자기야 나 방송 끝났어~  #스텔라이브 #버튜버,2025-03-30T10:00:55Z,2274818,25906.0,310.0,10100
i5cZgSkePZk,UC39h95qpsgVqXVMvYd7Clcg,이걸 키리누키라 부를 용기,강지,Kangji,STELLIVE,국힙원탑 정강지 (날조 310%) #네네코마시로 #스텔라이브 #강지,2024-02-25T04:03:12Z,16705,722.0,17.0,5580
VAitbyz7hyE,UCGfoXQT0l8YJA0gfZoJKlXQ,김천마 Gimcheonma Clip,강지,Kangji,STELLIVE,리제의 상상력에 경악을 금치 못하는 강지님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-08-31T05:09:44Z,39938,760.0,33.0,4310
1a9J_Elzx2g,UCfJWNsFuKV7R7vBhSXENJKg,특이점이 온 키리누키,강지,Kangji,STELLIVE,딸 사랑은 역시 강지 #강지 #텐코시부키 #마인크래프트 #minecraft #스텔라이브 #키리누키 #버튜버,2025-12-30T12:56:30Z,18265,427.0,15.0,2240
89_fAOE76l8,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,강지,Kangji,STELLIVE,새벽에 사장님이랑 얘기하는 클립 [텐코시부키(w.강지)클립/스텔마크],2025-04-23T23:30:01Z,49600,,21.0,5320
ZFK0_sW8FZw,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,강지,Kangji,STELLIVE,"강지님한테 이상한거 배워온 리코 [리코,리제]     #스텔라이브 #vtuber #버튜버 #키리누키",2026-03-18T03:00:00Z,24908,801.0,18.0,1840
WT260DGPmRM,UC8lS0RitnJdDRGyRyibeYXw,이로이로_키리누키,아야츠노 유니,Ayatsuno Yuni,EVERYS,말 실수한 유니 #shorts #유니 #아야츠노유니,2024-02-15T11:55:50Z,1043906,14872.0,564.0,673
8_12jU8eM58,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,아야츠노 유니,Ayatsuno Yuni,EVERYS,키리누키 때문에 내 유튜브가 힘들다!!,2024-08-28T09:00:07Z,45555,775.0,117.0,10100
XJLFStWVU8M,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,아야츠노 유니,Ayatsuno Yuni,EVERYS,[스텔라이브 클립] 유니는 당황스럽다,2026-08-08T06:15:17Z,63710,1322.0,77.0,10100
qzmJUB-ZeZ0,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,아야츠노 유니,Ayatsuno Yuni,EVERYS,방송 켜자마자 벗었습니다 [유니] #스텔라이브 #vtuber #키리누키 #유니,2026-08-08T01:30:16Z,36588,1153.0,52.0,1840
xSUpFqE9-S4,UC8lS0RitnJdDRGyRyibeYXw,이로이로_키리누키,아야츠노 유니,Ayatsuno Yuni,EVERYS,대부분 못 본 뒷방송 #shorts #유니 #아야츠노유니,2024-02-08T09:15:30Z,24733,338.0,11.0,673
