rank,name_ko,name_en,unit,clip_count,total_clip_views,avg_clip_views,fan_channels,top_clip,top_clip_views,top_channel
1,텐코 시부키,Tenko Shibuki,CLICHE,19,4256132,224006.9,13,용사와 여우신이 부르는 거북이｜Davichi(다비치)_Turtle(거북이) Live Cover.텐코 시부키 X 유즈하 리코,1716276,서트 클립 Surt Clip
2,아야츠노 유니,Ayatsuno Yuni,EVERYS,32,2948243,92132.6,14,말 실수한 유니 #shorts #유니 #아야츠노유니,1043906,이로이로_키리누키
3,강지,Kangji,STELLIVE,11,2932979,266634.5,7,??? : 자기야 나 방송 끝났어~  #스텔라이브 #버튜버,2274818,클립따는 유인원
4,아카네 리제,Akane Lize,UNIVERSE,15,2731734,182115.6,7,리제의 &#39;그 클립&#39; 을 본 부키 ㅋㅋㅋㅋ,789859,누따비
5,하나코 나나,Hanako Nana,CLICHE,33,2032284,61584.4,18,힘드신군뇨 #shorts #하나코나나 #스텔라이브 #키리누키,524672,누키누끼
6,네네코 마시로,Neneko Mashiro,UNIVERSE,36,1798837,49967.7,12,서러움에 결국 울음이 터져버린 시로...,424925,서트 클립 Surt Clip
7,아라하시 타비,Arahashi Tabi,UNIVERSE,32,1502686,46958.9,10,미친사람  #shorts  #아라하시타비 #키리누키 #스텔라이브,466757,누키누끼
8,시라유키 히나,Shirayuki Hina,UNIVERSE,26,1081933,41612.8,12,검은색임 내가봤어 #vtuber #shorts #STELLIVE #버튜버 #히나,462145,FTECLIP
9,유즈하 리코,Yuzuha Riko,CLICHE,23,833346,36232.4,12,【ぶいすぽEN和訳】「歯茎出す」の日本語の意味をリコに英語で説明しようとして苦戦するれんくんとはなび【ソラリリコ/如月れん/蝶屋はなび/apex/ぶいすぽ切り抜き】,147943,ぶいすぽEN切り抜き & Clips
10,아오쿠모 린,Aokumo Rin,CLICHE,5,254346,50869.2,3,[린 클립] 스텔라이브 어떻게 붙었는지 아직도 모르겠다는 린,121912,피엔나 소세지
11,사키하네 후야,Sakihane Huya,EVERYS,25,71066,2842.6,3,【咲羽 風夜】日本語の画期的な秘密に気づいて興奮するフヤさん【ステライブ切り抜き/日韓字幕】,16513,すてら日和
