comment_id,video_id,name_ko,name_en,unit,text,like_count,published_at,text_len,sid
UgxG3a31g2mJfSp3Zmp4AaABAg,5YakLR9sQfw,유즈하 리코,Yuzuha Riko,CLICHE,아닠ㅋㅋㅋ 이걸 더빙해줬구낰ㅋㅋㅋㅋㅋ 아 귀여워 ㅋㅋㅋㅋㅋㅋㅋ,4630,2026-07-08T06:18:04Z,34,1
UgwBrG4dxJI7hW4v0HJ4AaABAg,J3aC5GFGw2c,강지,Kangji,STELLIVE,"'장작이 스스로 불타는 수준을 넘어서, 아예 원자로로 진화한 뒤 멜트다운을 일으키는 경지에 도달함'",4307,2026-07-11T05:04:46Z,55,2
UgzlFK9BG5j51uGPfnd4AaABAg,J3aC5GFGw2c,강지,Kangji,STELLIVE,감자누나랑 뭘 준비중일까??😂😂,4120,2026-07-11T08:02:23Z,17,3
UgxI8cxLm7Apa93rCYJ4AaABAg,3Y7Ek6YSGPE,아카네 리제,Akane Lize,UNIVERSE,선생님…❤사랑합니다 찬란하게 피어나십쇼!!!!!!💙💙💙🦋🦋🦋저에게 연락하셨으면 엠알이라도 보내드렸을텐데요ㅠㅠㅠㅠ감사합니다,3725,2026-07-04T13:02:56Z,67,4
UgxhHJKgPLSjZtmNGSt4AaABAg,J3aC5GFGw2c,강지,Kangji,STELLIVE,"""포보스 선정 종료된 우결중 유일하게 팬들 보다 지들이 더 장작을 많이 넣는 커플""",3673,2026-07-11T05:04:42Z,46,5
UgykxNUZqrtaJ9Gvch14AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,"둘이 꽁냥대는 거 아주 쥬시해
방금 치과다녀왔는데 다시 가야할 것같아",3634,2026-07-20T07:34:44Z,38,6
UgzlIDehu7UtA-0wL4R4AaABAg,5YakLR9sQfw,유즈하 리코,Yuzuha Riko,CLICHE,클리셰는 진짜 너무 귀여운 집단임 아오 귀여워,3016,2026-07-08T06:15:39Z,25,7
UgyIZ1hFxFMg-vifQLt4AaABAg,SnphXZcC-9w,강지,Kangji,STELLIVE,배그 서버비는 역시 대 스텔라이브,3014,2026-07-15T07:50:16Z,18,8
Ugy5x5MDI7E2_74Vxwd4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,강지 웃을때 끊어서 하하하 웃는거 진짜 개 귀여움,2951,2026-07-20T07:25:50Z,27,9
UgzdGnw_DjtQf8iC1qZ4AaABAg,TTHSIecBzhg,아카네 리제,Akane Lize,UNIVERSE,라이트팬들 콘서트 현장 ㅈㄴ 쉽지않을예정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2832,2026-07-10T05:43:25Z,33,10
UgxTH6FyJZOwfsxH_hd4AaABAg,P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,_이세계에서 누가 돌아왔게~☆_,2591,2026-07-24T07:48:47Z,17,11
Ugxy3cu9VZVW8QMrPLR4AaABAg,Uuf2oipmXHg,텐코 시부키,Tenko Shibuki,CLICHE,후배 선배는 그냥 부조리잖아 ㅋㅋㅋ,2534,2026-07-11T07:51:41Z,19,12
Ugw_YOcypHapRruPqmR4AaABAg,KxG2L57W0SQ,아라하시 타비,Arahashi Tabi,UNIVERSE,기다렸는데 반갑진않은 이 느낌은 뭘까..,2511,2026-06-29T03:52:59Z,22,13
Ugzv2BX-NlGWQAG0kU54AaABAg,D9OEykMduEU,아카네 리제,Akane Lize,UNIVERSE,콘서트 가야하는데 이거보고 지금깬 엥나들은  헉 ㄷㄷ,2319,2026-07-11T05:38:42Z,29,14
UgzHPL5CeC7t37sMAR14AaABAg,ZYSQLv_L26Y,아오쿠모 린,Aokumo Rin,CLICHE,뮤비노래분위기 ㄹㅇ 역대급이면 개추 ㅋㅋㅋㅋㅋㅋㅋ,2229,2026-07-27T09:05:28Z,27,15
UgzXXSEDaKzIgP5xkl94AaABAg,6y-jHz_1r1Y,유즈하 리코,Yuzuha Riko,CLICHE,히나는 왜 이미지가 멘헤라로 굳은거야 ㅋㅋㅋㅋㅋ,2229,2026-07-18T06:20:55Z,26,16
