video_id,name_ko,name_en,unit,title,views
uoEToKJ2-z4,강지,Kangji,STELLIVE,오프 행사에서 난리 났었다는 강지의 그 복장,1092290
IDELs4nhE1c,강지,Kangji,STELLIVE,최 악,785383
xFeUqVfHpeY,강지,Kangji,STELLIVE,진짜 트라우마팀 인재들이 모여버린 봉누도2 EMS 면접,662901
5tkYxllAKF8,강지,Kangji,STELLIVE,1등상 황금 레쿠쟈가 떴다고?!?!?! ... 운뚱땡이 운빅맘 강지 대체 운이 얼마나 좋은 거냐고,658608
egoTEH8teX0,아야츠노 유니,Ayatsuno Yuni,EVERYS,아 르 냥 일 어 나 🕗 !! #stellive #스텔라이브 #유니 #알람,688069
GiaDQPVBDsM,아야츠노 유니,Ayatsuno Yuni,EVERYS,다이죠부이데쇼 😎💜  #stellive #스텔라이브 #유니,618484
ysdVgfguR-Q,아야츠노 유니,Ayatsuno Yuni,EVERYS,사장님이랑 인생 첫 어른 회식,311854
WQxtkLDMpG4,아야츠노 유니,Ayatsuno Yuni,EVERYS,선배가 기강 잡는 방법,309091
w16uoVZpKqY,사키하네 후야,Sakihane Huya,EVERYS,단단비리비리 #shorts #vtuber,408150
8shKFjkHabo,사키하네 후야,Sakihane Huya,EVERYS,푸른 산호초(青い珊瑚礁) - 松田 聖子 l 사키하네 후야(Sakihane Huya) Cover,398552
jeft__9y7ik,사키하네 후야,Sakihane Huya,EVERYS,So Feminine #shorts #vtuber,323424
HlGZ8AY6nrw,사키하네 후야,Sakihane Huya,EVERYS,😼이봐용가리! 🐲이봐고양이! #shorts #vtuber,288753
aPGU47ki2fo,시라유키 히나,Shirayuki Hina,UNIVERSE,두 번째 서열정리 #vtuber #shorts,498198
ekINzN4PQmo,시라유키 히나,Shirayuki Hina,UNIVERSE,아틀란티스 소녀 (Atlantis Princess) | 시라유키 히나 Cover,467796
hYLq5yxrxu0,시라유키 히나,Shirayuki Hina,UNIVERSE,미워... 미운데... 안 미워... #cartoon #comic #vtuber #shorts,417457
MWdD0D5lGXM,시라유키 히나,Shirayuki Hina,UNIVERSE,유니버스 수영복 신의상 바꿔 입기🐳 #meme #comic #vtuber,351013
2qEGFmXROQ4,네네코 마시로,Neneko Mashiro,UNIVERSE,"콧치노 켄토 - 네, 기꺼이 [はいよろこんで / こっちのけんと]ㅣ네네코 마시로 x 텐코 시부키 Cover",842699
8Kek19lHTFk,네네코 마시로,Neneko Mashiro,UNIVERSE,신의상 공개 스피드런 #네네코마시로 #스텔라이브 #shorts,235016
eeDdzUFGfcU,네네코 마시로,Neneko Mashiro,UNIVERSE,니기니기니지타운 댄스~ #にぎにじダンス #네네코마시로 #스텔라이브 #3D #shorts,229453
ncuxH3ZMmeU,네네코 마시로,Neneko Mashiro,UNIVERSE,그럼 꺼져,216997
wQSqaxmmt7Y,아카네 리제,Akane Lize,UNIVERSE,제철 리제가 왔어요~ #vtuber #shorts,712433
yXBmkQ-vYKY,아카네 리제,Akane Lize,UNIVERSE,픽셀 병약 담당 vs 스텔 병약 담당,603592
MtbxE4181zA,아카네 리제,Akane Lize,UNIVERSE,모르는 사람 따라가지 말랬는데 #vtuber #shorts,525238
wiz1NPDJW4A,아카네 리제,Akane Lize,UNIVERSE,히나야 사랑해 히나야 보고 싶어 히나야 어디있어 히나야 왜 나 피해 #vtuber #shorts,522833
nwqIoe_3zbE,아라하시 타비,Arahashi Tabi,UNIVERSE,High Hopes - Panic! At The Discoㅣ아라하시 타비 Cover,841377
uBtFoUXR9Qc,아라하시 타비,Arahashi Tabi,UNIVERSE,물떼새[ヨルシカ - 千鳥]ㅣ아라하시 타비 Cover,451582
2z5Ib-ULSH0,아라하시 타비,Arahashi Tabi,UNIVERSE,대체 캣파이트 미야오가 뭐냐고ㅋㅋㅋ,373974
_peqAS80naw,아라하시 타비,Arahashi Tabi,UNIVERSE,화면에 손가락을 올려보세요 👆 #shorts #vtuber #타비,366194
8EM5FEI6miA,텐코 시부키,Tenko Shibuki,CLICHE,최산 BAD 챌린지를 춰보았습니다. #meme #vtuber #shorts #BAD,658439
RRyTMxzy-mE,텐코 시부키,Tenko Shibuki,CLICHE,스텔마을에 위기가 찾아왔어요,443122
oHs89N-kWYI,텐코 시부키,Tenko Shibuki,CLICHE,비밀로 해줄게 #shorts #vtuber,389312
