rank_in_cohort,group,cohort,generation,debut_date,channel_id,name_ko,name_en,unit,months_since_debut,subscribers,total_views,video_count,subs_per_month,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
9,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCV9WL7sW6_KjanYkUUaIDfQ,고세구,Gosegu,,57.1,535000,426962680,1130,9374.8,102462.9,0.04868,4.23,0.192
10,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UC-oCJP9t47v7-DmsnmXV38Q,릴파,Lilpa,,57.1,426000,348891341,1116,7464.8,110008.5,0.05265,4.61,0.258
11,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCHE7GBQVtdh-c1m3tjFdevQ,징버거,Jingburger,,57.1,420000,303676386,1108,7359.7,103567.3,0.04441,3.17,0.247
12,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCTifMx1ONpElK5x6B4ng8eg,주르르,Jururu,,57.1,410000,264917193,817,7184.4,86100.4,0.06428,2.23,0.21
13,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCroM00J2ahCN6k-0-oAiDxg,아이네,Ine,,57.1,357000,330352470,638,6255.7,143348.5,0.04709,1.75,0.402
14,이세계아이돌,2021-2022 데뷔,1기,2021-12-17,UCs6EwgxKLY9GG4QNUrP5hoQ,비챤,Viichan,,57.1,324000,280449000,1041,5677.5,69778.1,0.06881,3.76,0.215
1,홀로라이브,2021-2022 데뷔,ID 3기,2022-03-27,UCjLEmnpCNeisMxy134KPwWw,코보 카나에루,Kobo Kanaeru,,53.8,2790000,273314793,850,51875.8,130251.4,0.07934,5.34,0.047
2,홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-26,UCENwRMx5Yh42zWpzURebzTw,라플라스 다크니스,La+ Darknesss,,57.8,1580000,484158956,976,27355.7,436455.2,0.06598,1.01,0.276
3,홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-28,UC6eWCld0KwmyHFbAqK3V-Rw,하쿠이 코요리,Hakui Koyori,,57.7,1370000,759901084,3464,23746.8,159472.3,0.06047,18.45,0.116
4,홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-29,UCIBY1ollUsauvVi4hW4cumw,사카마타 클로에,Sakamata Chloe,,57.7,1310000,220204751,649,22719.7,697368.6,0.06434,4.95,0.532
5,홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-30,UC_vMYWcDjmfdpH6r4TTn1MQ,카자마 이로하,Kazama Iroha,,57.6,1150000,312452381,1272,19956.2,138559.5,0.06179,3.76,0.12
6,홀로라이브,2021-2022 데뷔,JP 6기 holoX,2021-11-27,UCs9_O1tRPMQTHQ-N_L6FU2g,타카네 루이,Takane Lui,,57.7,1120000,478189731,2385,19402.4,123394.0,0.06738,5.97,0.11
7,홀로라이브,2021-2022 데뷔,ID 3기,2022-03-25,UCTvHWSfBZgtxE4sILOaurIQ,벨스티아 제타,Vestia Zeta,,53.8,1050000,71988326,1044,19499.3,69081.6,0.10566,4.14,0.066
8,홀로라이브,2021-2022 데뷔,ID 3기,2022-03-26,UCZLZ8Jjx_RN2CXloOmgTHVg,카엘라 코발스키아,Kaela Kovalskia,,53.8,914000,116078874,1742,16984.1,120485.2,0.07629,4.61,0.132
10,StelLive,2023 데뷔,1기 MYSTIC,2023-01-08,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,EVERYS,44.4,361000,198058613,740,8139.2,146193.8,0.03113,2.74,0.405
11,StelLive,2023 데뷔,2기 UNIVERSE,2023-06-11,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,UNIVERSE,39.3,356000,307876915,610,9060.0,277216.2,0.02886,5.21,0.779
12,StelLive,2023 데뷔,2기 UNIVERSE,2023-06-10,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,UNIVERSE,39.3,320000,194825673,620,8137.0,162649.1,0.03572,3.27,0.508
13,StelLive,2023 데뷔,2기 UNIVERSE,2023-06-11,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,UNIVERSE,39.3,262000,190210647,792,6667.7,188300.0,0.02777,3.62,0.719
14,StelLive,2023 데뷔,2기 UNIVERSE,2023-06-10,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,UNIVERSE,39.3,184000,62460254,428,4678.8,158897.3,0.04094,1.9,0.864
1,홀로라이브,2023 데뷔,EN Advent,2023-07-30,UCt9H_RpQzhxzlyBxFqrdHqA,후와와·모코코,FUWAMOCO,,37.7,1380000,171305384,1037,36620.5,183179.6,0.0807,5.08,0.133
2,홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCdXAk5MpyLD8594lm_OvtGQ,쥬후테이 라덴,Juufuutei Raden,,36.3,1270000,220728460,923,34950.8,149260.2,0.0698,4.61,0.118
3,홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UC1iA6_NT4mtAcIII6ygrvCw,토도로키 하지메,Todoroki Hajime,,36.3,1250000,559741154,1123,34400.4,242462.8,0.05781,7.25,0.194
