corp_code,corp_name,rcept_dt,report_nm,rcept_no
01375682,샌드박스네트워크,20260413,연결감사보고서 (2025.12),20260413002333
01375682,샌드박스네트워크,20260413,감사보고서 (2025.12),20260413002332
01375682,샌드박스네트워크,20250404,연결감사보고서 (2024.12),20250404003810
01375682,샌드박스네트워크,20250404,감사보고서 (2024.12),20250404003809
01375682,샌드박스네트워크,20240409,감사보고서 (2023.12),20240409000300
01375682,샌드박스네트워크,20230428,연결감사보고서 (2022.12),20230428001187
01375682,샌드박스네트워크,20230412,감사보고서 (2022.12),20230412001669
01375682,샌드박스네트워크,20220411,감사보고서 (2021.12),20220411000176
01375682,샌드박스네트워크,20210402,감사보고서 (2020.12),20210402001988
01375682,샌드박스네트워크,20200401,감사보고서 (2019.12),20200401001052
01906622,패러블엔터테인먼트,20260407,감사보고서 (2025.12),20260407000075
01605556,브레이브엔터테인먼트,20230414,감사보고서 (2022.12),20230414002029
01605556,브레이브엔터테인먼트,20230414,[기재정정]감사보고서 (2021.12),20230414001964
01605556,브레이브엔터테인먼트,20230411,[기재정정]감사보고서 (2021.12),20230411002569
01605556,브레이브엔터테인먼트,20220428,감사보고서 (2021.12),20220428000537
00399694,SOOP,20260904,주식소각결정              ,20260904900678
00399694,SOOP,20260904,주요사항보고서(유형자산양수결정),20260904000476
00399694,SOOP,20260824,기업설명회(IR)개최              ,20260824900435
00399694,SOOP,20260814,반기보고서 (2026.06),20260814003875
00399694,SOOP,20260813,주식등의대량보유상황보고서(일반),20260813001679
00399694,SOOP,20260731,연결재무제표기준영업(잠정)실적(공정공시)              ,20260731900758
00399694,SOOP,20260716,기업설명회(IR)개최              ,20260716900960
00399694,SOOP,20260629,주식등의대량보유상황보고서(일반),20260629000574
00399694,SOOP,20260610,주식등의대량보유상황보고서(약식),20260610000324
00399694,SOOP,20260604,임원ㆍ주요주주특정증권등소유상황보고서,20260604000388
00399694,SOOP,20260604,임원ㆍ주요주주특정증권등소유상황보고서,20260604000385
00399694,SOOP,20260604,임원ㆍ주요주주특정증권등소유상황보고서,20260604000373
00399694,SOOP,20260604,임원ㆍ주요주주특정증권등소유상황보고서,20260604000365
00399694,SOOP,20260515,분기보고서 (2026.03),20260515002654
00399694,SOOP,20260512,기업설명회(IR)개최              ,20260512900628
00399694,SOOP,20260508,주식등의대량보유상황보고서(약식),20260508000467
00399694,SOOP,20260430,임원ㆍ주요주주특정증권등소유상황보고서,20260430001881
00399694,SOOP,20260430,연결재무제표기준영업(잠정)실적(공정공시)              ,20260430900945
00399694,SOOP,20260416,기업설명회(IR)개최              ,20260416900529
00399694,SOOP,20260403,주식등의대량보유상황보고서(일반),20260403003663
00399694,SOOP,20260327,주식매수선택권부여에관한신고,20260327001659
00399694,SOOP,20260327,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20260327001019
00399694,SOOP,20260327,기업가치제고계획(자율공시)              ,20260327901061
00399694,SOOP,20260327,대표이사변경              ,20260327901053
00399694,SOOP,20260327,정기주주총회결과              ,20260327901039
00399694,SOOP,20260319,사업보고서 (2025.12),20260319001348
00399694,SOOP,20260319,감사보고서제출              ,20260319900956
00399694,SOOP,20260312,주주총회집중일개최사유신고              ,20260312901765
00399694,SOOP,20260312,의결권대리행사권유참고서류,20260312001089
00399694,SOOP,20260312,주주총회소집공고,20260312001062
00399694,SOOP,20260312,주주총회소집결의              ,20260312901541
00399694,SOOP,20260306,임원ㆍ주요주주특정증권등소유상황보고서,20260306000860
00399694,SOOP,20260225,주식등의대량보유상황보고서(일반),20260225001364
00399694,SOOP,20260225,임원ㆍ주요주주특정증권등소유상황보고서,20260225001242
00399694,SOOP,20260225,임원ㆍ주요주주특정증권등소유상황보고서,20260225001236
00399694,SOOP,20260225,임원ㆍ주요주주특정증권등소유상황보고서,20260225001228
00399694,SOOP,20260220,주요사항보고서(자기주식처분결정),20260219002911
