corp_code,corp_name,bsns_year,fs_div,rcept_no,report_nm,status,n_rows
01921913,팬딩,,,,,NO_FILINGS,0
01375682,샌드박스네트워크,2019.0,OFS,20200401001052,감사보고서 (2019.12),000,12
01375682,샌드박스네트워크,2020.0,OFS,20210402001988,감사보고서 (2020.12),000,12
01375682,샌드박스네트워크,2021.0,OFS,20220411000176,감사보고서 (2021.12),000,12
01375682,샌드박스네트워크,2022.0,CFS,20230428001187,연결감사보고서 (2022.12),000,12
01375682,샌드박스네트워크,2022.0,OFS,20230412001669,감사보고서 (2022.12),000,12
01375682,샌드박스네트워크,2023.0,OFS,20240409000300,감사보고서 (2023.12),000,12
01375682,샌드박스네트워크,2024.0,CFS,20250404003810,연결감사보고서 (2024.12),000,12
01375682,샌드박스네트워크,2024.0,OFS,20250404003809,감사보고서 (2024.12),000,12
01375682,샌드박스네트워크,2025.0,CFS,20260413002333,연결감사보고서 (2025.12),000,12
01375682,샌드박스네트워크,2025.0,OFS,20260413002332,감사보고서 (2025.12),000,12
01906622,패러블엔터테인먼트,2025.0,OFS,20260407000075,감사보고서 (2025.12),000,12
01605556,브레이브엔터테인먼트,2021.0,OFS,20230414001964,[기재정정]감사보고서 (2021.12),000,10
01605556,브레이브엔터테인먼트,2022.0,OFS,20230414002029,감사보고서 (2022.12),000,10
