corp_code,corp_name,bsns_year,fs_div,reprt_code,status,status_msg,n_rows
01921913,팬딩,2016,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2016,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2017,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2017,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2018,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2018,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2019,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2019,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2020,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2020,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2021,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2021,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2022,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2022,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2023,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2023,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2024,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2024,OFS,11011,013,데이터 없음(013),0
01921913,팬딩,2025,CFS,11011,013,데이터 없음(013),0
01921913,팬딩,2025,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2016,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2016,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2017,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2017,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2018,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2018,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2019,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2019,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2020,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2020,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2021,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2021,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2022,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2022,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2023,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2023,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2024,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2024,OFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2025,CFS,11011,013,데이터 없음(013),0
01375682,샌드박스네트워크,2025,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2016,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2016,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2017,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2017,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2018,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2018,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2019,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2019,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2020,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2020,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2021,CFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2021,OFS,11011,013,데이터 없음(013),0
01906622,패러블엔터테인먼트,2022,CFS,11011,013,데이터 없음(013),0
