name_en,name_ko,match_name,precision,note
Kiana Kaslana,키아나 카슬라나,키아나,sure,
Raiden Mei,라이덴 메이,메이,sure,2글자 — 다른 단어와 겹칠 수 있어 상한값
Bronya Zaychik,브로냐 자이칙,브로냐,sure,
Murata Himeko,무라타 히메코,히메코,sure,
Yae Sakura,야에 사쿠라,사쿠라,sure,
Theresa Apocalypse,테레사 아포칼립스,테레사,sure,
Fu Hua,후카,후카,sure,2글자 — 상한값
Kallen Kaslana,카렌 카슬라나,카렌,sure,2글자 — 상한값
Rita Rossweisse,리타 로스바이세,리타,sure,2글자 — 상한값
Seele Vollerei,제레 발레리,제레,sure,2글자 — 상한값 (한국 서버 표기, 2026-09-19 사용자 확인)
Liliya Olenyeva,릴리야 올레니에바,릴리야,sure,
Rozaliya Olenyeva,로잘리야 올레니에바,로잘리야,sure,
Durandal,듀란달,듀란달,sure,
Asuka,아스카,아스카,sure,에반게리온 콜라보
Fischl,피슬,피슬,sure,원신 콜라보 — 원신 리뷰와 무관하게 붕괴3rd 리뷰 안에서만 센다
Elysia,엘리시아,엘리시아,sure,
Mobius,모비우스,모비우스,sure,
Natasha Cioara,나타샤 시오라,나타샤,sure,
Carole Pepper,캐롤 페퍼,캐롤,sure,2글자 — 상한값
Pardofelis,파르도피비,파르도피비,sure,
Aponia,아포니아,아포니아,sure,
Eden,에덴,에덴,sure,2글자 — 상한값
Griseo,그리세오,그리세오,sure,
Vill-V,빌브이,빌브이,sure,
Li Sushang,리수샹,리수샹,sure,
Ai Hyperion Λ,아이 히페리온 Λ,아이짱,uncertain,리뷰에서 흔히 쓰는 애칭으로 매칭
Susannah Manatt,수잔나 마나트,수잔나,sure,
Misteln Schariac,미스텔른 샤리악,미스텔른,sure,
PROMETHEUS,프로메테우스,프로메테우스,sure,
Shigure Kira,시구레 키라,시구레,sure,
Sirin,시린,시린,sure,2글자 — 상한값
Senadina,세나디나,세나디나,sure,
Coralie 6626 Planck,코랄리 6626 플랑크,코랄리,sure,
Erdős Helia,에르되시 헬리아,헬리아,uncertain,
Thelema Nutriscu,셀레마 누트리스쿠,셀레마,uncertain,
"""Lantern""",랜턴,랜턴,sure,2글자 — 상한값
Songque,송작,송작,sure,2글자 — 상한값 (한국 서버 표기, 2026-09-19 사용자 확인)
Vita,비타,비타,sure,2글자 — 상한값
Sparkle,스파클,스파클,uncertain,한국 서버 표기 확인 필요
Carole Pepper (APHO),,,,APHO(후붕괴서) 모드 전용 — 본편 캐릭터와 중복이라 제외
Raiden Mei (APHO),,,,APHO(후붕괴서) 모드 전용 — 본편 캐릭터와 중복이라 제외
