creator_url,nickname,description,main_category,sub_category
elev8,엘리브에잇,"안녕하세요, 버추얼 프로덕션 ELEV8입니다.",category.subculture.vtuber,category.subculture.vtuber.streaming
myjZVWA2LSO4,유키링 yukilling,yukilling,category.subculture.vtuber,category.subculture.vtuber.streaming
tTi6H0hnaV29,하룽Harung,하룽Harung님의 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
arfauna,아르포나,아르포나 팬딩 페이지입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
hananeno_chuchu,하나네노 츄츄,치지직에서 방송을 하는 츄츄입니다🩷 힐링보이스 / 우타이테 / 종합게임,category.subculture.vtuber,category.subculture.vtuber.streaming
LNFyxMaszUEC,빅터 KR,현재 버츄얼 프로젝트 진행 중 입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
auroauro,아로 AURO,치지직 / 아로AURO,category.subculture.vtuber,category.subculture.vtuber.streaming
Neblyss_company,네블리스,네블리스 NEBLYSS 공식 페이지 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
hika1,히카1,치지직에서 방송하는 아가씨입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
TWILLITSTUDIO_,TWILLITSTUDIO_트윌릿,VTUBER MCN TWILLIT STUDIO(트윌릿 스튜디오)입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
cihe_,인텔리 치에,인텔리 치에님의 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
yumeru,유메루,라디오DJ 마녀님 유메루이다요~,category.subculture.vtuber,category.subculture.vtuber.streaming
studiosegno,스튜디오 세뇨,스튜디오 세뇨입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
choiaehigh,최애고등학교,우리 학교에 놀러와! ( ˶'ᵕ'˶)ෆ ㅣ 최애고등학교 공식 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
WEtdVxfgiS6z,소앙마 치노,소앙마 치노이시니라!!,category.subculture.vtuber,category.subculture.vtuber.streaming
hebi_official,Hebi,2nd Mini Album 【Human Eclipse】,category.subculture.vtuber,category.subculture.vtuber.streaming
GeuRium,그리움 Rium,"기억을 거두는 용, 사룡 리움🪻",category.subculture.vtuber,category.subculture.vtuber.streaming
m4yd4y,M4YD4Y_메이데이,M4YD4Y(메이데이) 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
lunadays,루나데이즈,루나데이즈 공식 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
CHOOSE,츄즈,노래하는 버추얼 츄즈입니다아! 나랑 소통하자 ><,category.subculture.vtuber,category.subculture.vtuber.streaming
VDePEsT5SZIr,아쿠쨩,아쿠쨩님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
chuing,김츄잉,숲에서 버츄얼방송 하고있는 츄잉이라고합니다,category.subculture.vtuber,category.subculture.vtuber.streaming
LJzftS8Mmcgl,배부른 강아지 527841,배부른 강아지 527841님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
02rKIyDJSxjd,모모시로 카나,반은 천사고 반은 악마인 모모시로 카나 🤍,category.subculture.vtuber,category.subculture.vtuber.streaming
jKn2OagAoQ4Y,마리엘,우당탕! 사고뭉치 고양이지만 마음만은 따스한 햇살미소녀 리에링💛,category.subculture.vtuber,category.subculture.vtuber.streaming
LYhZbJgMTHBO,오르빗 엔터테인먼트 Orvit Ent,"버츄얼 연예기획사, Warudo Pro 및 NiloToon 공식 수입사, 버츄얼 콘텐츠 프로덕션  http://orvit-ent.com",category.subculture.vtuber,category.subculture.vtuber.streaming
iotayona,요나 Yona,버츄얼고래생태연구소장,category.subculture.vtuber,category.subculture.vtuber.streaming
ciders,사이다,물고문장인💧버츄얼치어리더⚾️승리요정 사이다입니다💛,category.subculture.vtuber,category.subculture.vtuber.streaming
visoe,이소에,물의정령 이소에🫧,category.subculture.vtuber,category.subculture.vtuber.streaming
pgtQf3VFG0nO,유루리 Yururi,Yururi님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
howstory_v,하우스토리,개인 버츄얼 크루 하우스토리의 공식 팬딩 페이지입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
SHHVAN,시반 SHHVAN,숲트리머 시반 SHHVAN,category.subculture.vtuber,category.subculture.vtuber.streaming
grimproduction,GRIM PRODUCTION,음악 종합기업 마운드미디어의 서브컬쳐 버추얼 전문 레이블 그림프로덕션 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
planb_music,PlanB Music 플랜비 뮤직,버츄얼 힙합 레이블 Plan.B Music 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
nanarings2,나나링 Nanaring,나나링 팬딩 26.07.06 부로 운영 종료 합니다 !,category.subculture.vtuber,category.subculture.vtuber.streaming
MScompany,몽상컴퍼니,몽상컴퍼니 공식 팬딩 페이지입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
OVERTHEWALL,오버더월 OVER.THE.WALL,OVER THE WALL의 공식 팬딩 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
2024VIPCON,버추얼 아이돌 프로젝트 콘서트,Virtual Idol Project Concert | 광명 IVEX 스튜디오 5F | 17:00,category.subculture.vtuber,category.subculture.vtuber.streaming
maya100,마야100,Deep MAYA,category.subculture.vtuber,category.subculture.vtuber.streaming
Reana,레아나 Reana,레아나 Reana님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
roong,빵룽,빵룽입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
alicemana,아리스마나,흑백 여우 무녀 아리스마나(•̀ᴗ•́)و!,category.subculture.vtuber,category.subculture.vtuber.streaming
7NfhqVtwT4Kl,리츄쨩,리츄쨩님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
shiroko,시로코 SHIROKO,안농💀 난 시로코야!🤍,category.subculture.vtuber,category.subculture.vtuber.streaming
moonmomo,문모모,모며들어보기,category.subculture.vtuber,category.subculture.vtuber.streaming
forthemore,포더모어 ForTheMore,포더모어 공식 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
quLa8SzFA0Db,모야__,모야__님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
RIKA0714,리카 RIKA,크앙 리카얌,category.subculture.vtuber,category.subculture.vtuber.streaming
watame_plan_kr,와타메이트 기획부 KR,홀로라이브 츠노마키 와타메 주년 및 탄생제 이벤트 기획,category.subculture.vtuber,category.subculture.vtuber.streaming
MEv9NGSudtL8,정나은양,버추얼 스트리머 정나은양의 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
hareu,하르-,하르랑 팬딩하쟈,category.subculture.vtuber,category.subculture.vtuber.streaming
V_HANA_Relight,리라이트 Re-light,"브이하나(V-HANA) 소속으로 활동중인 뵤리애와 슈메히메의 듀오, 리라이트(Re:light)의 공식 Fanding 페이지에 오신 것을 환영합니다!",category.subculture.vtuber,category.subculture.vtuber.streaming
sangchu541,천상츄 SANGCHU,우주외계고양이 천상츄 팬딩 페이지 입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
Ux35RL4tPZJY,아티손즈,아티손즈 공식 팬딩,category.subculture.vtuber,category.subculture.vtuber.streaming
kg0qIswfj4Vr,아랭 ARENG,오로지 방송의 발전과 지키기위한 마지막 발버둥,category.subculture.vtuber,category.subculture.vtuber.streaming
narum_Idol,나름아이,"나름아이는 달의 아이 LuNa, 도깨비의 아이 유루, 구미호의 아이 아리단 총 3인으로 이루어진 버츄얼 아이돌 그룹입니다",category.subculture.vtuber,category.subculture.vtuber.streaming
r1EFuQ8XYi93,CHUPS_,아프리카TV에서 활동중인 버츄얼 크루 츕스입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
LUVDIA,러브다이아,러브다이아 공식 팬딩 사이트입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
heemi,희미,heemi,category.subculture.vtuber,category.subculture.vtuber.streaming
vTSF8M3yYcBf,찬비니,찬비니님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
dQHjf3zyoc2W,미르MIR,미르의 미리내🌌✨,category.subculture.vtuber,category.subculture.vtuber.streaming
1Ko0Wup6L2wV,원사비,메로나를 사랑하는 여우신 원사비인 거시다,category.subculture.vtuber,category.subculture.vtuber.streaming
jongtachi,종타치,종타치님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
projecti,프로젝트아이 Project i,"프로젝트아이 공식 팬딩 페이지입니다. [허니츄러스, 아야, 담유이, 디디디용, 오화요, 망내]",category.subculture.vtuber,category.subculture.vtuber.streaming
fwAdGFseX0Dk,광고거는유리함수,광고거는유리함수님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
REFLY,리플라이REFLY,팬들과 즐거운 이세계 생활! 리플라이 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
Honey__Churros,허니츄러스,안녕하세요. 허니츄러스입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
VeryDDingZ,베리띵즈 VeryDDingZ,베리띵즈 VeryDDingZ님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
STARDAYS,스타데이즈,스타데이즈 공식 팬딩 사이트입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
aho0226,아호_aho,아호의 팬페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
wishinglive,위싱 라이브,안녕하세요 위싱라이브 팬딩 페이지입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
chyugyeong,츄경,ʢᵕᴗᵕʡ ❤,category.subculture.vtuber,category.subculture.vtuber.streaming
hololivexfandingevent,홀로라이브 프로덕션 X 팬딩,팬딩에서 운영하는 홀로라이브 프로덕션 이벤트 팬딩 페이지입니다. 다양한 이벤트 정보를 여러분께 안내드립니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
WR9TP4OQqLM8,아카이브 스튜디오,아카이브 스튜디오의 공식 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
imducko3o,오리꿍_Fanding,오리꿍의 일상 글이 올라오는 홈페이지입니다!! 팬메세지 1:1 가능,category.subculture.vtuber,category.subculture.vtuber.streaming
hiyoko,히요코_POCOTONE,히요코_POCOTONE님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
dalchesom,Dalchesom,안녕하세요! 포코톤 달체솜의 개인 팬딩 페이지입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
vunet,유네트,게임 속 캐릭터를 모험가에게 보내드리는 버츄얼 프로젝트 유네트 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
illustar,일러스타 페스,모두가 함께 만들어가는 동인 종합 이벤트 일러스타 페스 입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
rev_vit,레브 Rev_,레브레브~,category.subculture.vtuber,category.subculture.vtuber.streaming
Y1Y4_,이야,트위치에서 노래 부르는 이야라고합니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
t95BmlTKSD7s,죠셉죠슈아,나는 나다,category.subculture.vtuber,category.subculture.vtuber.streaming
Myong,묭이,용왕님의 용궁성 보물상자,category.subculture.vtuber,category.subculture.vtuber.streaming
tfhTJ4pNUWGX,오시프로덕션_OSHI,오시프로덕션 주식회사의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
1Yfs3bvcKzSF,모라라,Molala Moonfish님의 팬 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
HFVLRpcanjz1,미베_,버츄얼 크리에이터 미베입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
seres_sella,세레스 셀라,마계에서 추방당한 악마 세레스 셀라,category.subculture.vtuber,category.subculture.vtuber.streaming
iPsXc7F1ldLn,앰구,북극여우 스트리머 앰구입니댜!,category.subculture.vtuber,category.subculture.vtuber.streaming
J9ZrQ63sY4Ry,ning_gu,"🎭💚누군가의 페르소나, 닝구 게임+노래+저챗 방송을 하고있습니다!",category.subculture.vtuber,category.subculture.vtuber.streaming
jBk9WO2adheJ,코튼캔탑,솜사탕 스트리머 코튼캔탑입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
cRZIuFf3Mq5p,베아루,곰탱이가 잠시 쉬어가는 동굴 속,category.subculture.vtuber,category.subculture.vtuber.streaming
8LbsIyTcDw62,마냐나_,💙,category.subculture.vtuber,category.subculture.vtuber.streaming
f3XRk6hb0ZVw,로벨__,버츄얼 아이돌 로벨입니다 💖,category.subculture.vtuber,category.subculture.vtuber.streaming
5Zs9QAdTFcxk,연루나,달의 여신 연루나의 달 뒷편,category.subculture.vtuber,category.subculture.vtuber.streaming
v_rome,로미 ROME,마계에서 도망친 2급 서큐버스 로미!,category.subculture.vtuber,category.subculture.vtuber.streaming
lVHeuU1MNncE,2브임,버츄얼 노래스트리머 호소인.,category.subculture.vtuber,category.subculture.vtuber.streaming
WD1uP8JTaGOZ,꽃마리,너! 내 백성이 되라 (´▽`ʃ♡ƪ),category.subculture.vtuber,category.subculture.vtuber.streaming
IGaMukREgZY1,얌하,얌하네 팬딩,category.subculture.vtuber,category.subculture.vtuber.streaming
vrecord,브이레코드_VRECORD,버추얼 싱어 프로덕션 회사 VRECORD 공식 팬딩 페이지,category.subculture.vtuber,category.subculture.vtuber.streaming
WXSt8G3KxVno,여름어름,안녕하세요 여름어름입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
dansihye,시혜,시혜의 팬딩 페이지에요 :),category.subculture.vtuber,category.subculture.vtuber.streaming
JiYe8Rkmj0cO,이주인_,주인이의 팬딩 페이지!,category.subculture.vtuber,category.subculture.vtuber.streaming
Veginning,VGG,VGG의 공식 팬딩입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
lumyon,루묭,원탁의 용사 길드 본사,category.subculture.vtuber,category.subculture.vtuber.streaming
camellia1225,동백 camellia,동박새가 마음껏 나는 화원의 공간,category.subculture.vtuber,category.subculture.vtuber.streaming
_marimo,_마리모0,✨반짝이는 물구석 심해마을의 이정표💦,category.subculture.vtuber,category.subculture.vtuber.streaming
v-llage,V-llage_브이리지,V-llage의 공식 팬딩 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
stellive,스텔라이브,공식 스텔라이브 페이지입니다,category.subculture.vtuber,category.subculture.vtuber.streaming
pocotone,포코톤 POCOTONE,아프리카 플랫폼에서 활동하는 버츄얼 BJ 크루입니다.,category.subculture.vtuber,category.subculture.vtuber.streaming
kavy2020,KAVY 카비,한국 버추얼 크리에이터 서포트 팀입니다!,category.subculture.vtuber,category.subculture.vtuber.streaming
yacoco,야코코,👁‍🗨 악마와 계약해서 서큐버스가 된 히키코모리 소녀 ♈,category.subculture.vtuber,category.subculture.vtuber.streaming
