name_ko,subscribers,recent_avg_views,uploads_per_week,shorts_share,recent_avg_engagement_rate,growth
사키하네 후야,135000,115010.7,3.54,0.24,0.0444,0.03846153846153855
유즈하 리코,222000,294194.6,5.53,0.4,0.03603,0.032710280373831724
텐코 시부키,230000,212942.3,6.47,0.48,0.03987,0.02678571428571419
아오쿠모 린,284000,193723.7,4.23,0.22,0.03464,0.0253623188405796
하나코 나나,206000,179522.8,6.12,0.5,0.04346,0.02487562189054726
아라하시 타비,262000,205859.9,3.99,0.18,0.03268,0.0235294117647058
아카네 리제,356000,306407.1,5.04,0.42,0.03275,0.023054755043227626
네네코 마시로,184000,114826.3,1.96,0.08,0.04452,0.022222222222222143
아야츠노 유니,361000,133427.7,2.91,0.18,0.0351,0.008379888268156499
시라유키 히나,320000,183297.7,3.54,0.38,0.03565,0.0031347962382444194
