name_ko,window_from,window_to,n_covers,cover_median_views,n_normal,normal_median_views,views_multiple,unit
네네코 마시로,2026-03-25,2026-09-04,3,188247,43,63446,2.97,곡(판 합산·음원 포함)
사키하네 후야,2026-06-10,2026-09-04,2,350608,42,83327,4.21,곡(판 합산·음원 포함)
시라유키 히나,2026-06-10,2026-09-04,2,502532,40,114569,4.39,곡(판 합산·음원 포함)
아라하시 타비,2026-06-23,2026-09-04,1,826860,41,111246,7.43,곡(판 합산·음원 포함)
아야츠노 유니,2026-05-19,2026-09-04,1,397435,44,92983,4.27,곡(판 합산·음원 포함)
아오쿠모 린,2026-06-27,2026-09-04,2,940852,42,106962,8.8,곡(판 합산·음원 포함)
아카네 리제,2026-07-12,2026-09-04,1,255815,39,198234,1.29,곡(판 합산·음원 포함)
유즈하 리코,2026-07-18,2026-09-04,8,170217,34,188714,0.9,곡(판 합산·음원 포함)
텐코 시부키,2026-07-25,2026-09-04,1,332847,38,146784,2.27,곡(판 합산·음원 포함)
하나코 나나,2026-07-26,2026-09-04,2,534517,34,121837,4.39,곡(판 합산·음원 포함)
