date,end_date,type,title,members,note,source
2023-07-20,,오리지널곡,아야츠노 유니 1st Single 「내꺼 하는 법」,아야츠노 유니,멤버 개인 오리지널곡,웹리서치
2024-02-21,,오리지널곡,스텔라이브 1st Single 「Milky Way」,,그룹 첫 오리지널 싱글 · 18:00 KST · 당시 라인업 미확인이라 멤버 비움,웹리서치
2024-04-03,,오리지널곡,「Hit On Shot」 (듀엣),아카네 리제,연도는 발매 순서로 추정 — 확인 필요,웹리서치(연도 추정)
2024-04-21,,오리지널곡,「Dear My Fairy」 (듀엣),시라유키 히나|네네코 마시로,연도는 발매 순서로 추정 — 확인 필요,웹리서치(연도 추정)
2024-04-30,,오리지널곡,UNIVERSE 1st Single 「Stars Align」,시라유키 히나|네네코 마시로|아카네 리제|아라하시 타비,2기 UNIVERSE 유닛곡,웹리서치
2024-06-19,,오리지널곡,아야츠노 유니 2nd Single 「SUPADOPA」,아야츠노 유니,멤버 개인 오리지널곡 · 18:00 KST,웹리서치
2024-08-24,,오리지널곡,cliché 1st Single 「Our Tales」,텐코 시부키|아오쿠모 린|하나코 나나|유즈하 리코,3기 cliché 유닛곡,웹리서치
2024-09-29,,오리지널곡,아카네 리제 1st Single 「Festa!」,아카네 리제,멤버 개인 오리지널곡 · 18:00 KST,웹리서치
2024-10-16,,오리지널곡,네네코 마시로 1st Single 「봄꿈」,네네코 마시로,멤버 개인 오리지널곡 · 18:00 KST,웹리서치
2024-12-11,,오리지널곡,아라하시 타비 1st Single 「여로」,아라하시 타비,멤버 개인 오리지널곡 · 18:00 KST,웹리서치
2025-07-11,,오리지널곡,시라유키 히나 1st Single 「하나 (夏拏)」,시라유키 히나,멤버 개인 오리지널곡,웹리서치
2025-11-12,,오리지널곡,아야츠노 유니 1st EP 「슈퍼삐질게하는법」,아야츠노 유니,멤버 개인 EP,웹리서치
2025-12-20,,콘서트,2025 THE 1ST STELLIVE FESTIVAL [STAR TRAIL],아야츠노 유니|사키하네 후야|시라유키 히나|네네코 마시로|아카네 리제|아라하시 타비|텐코 시부키|아오쿠모 린|하나코 나나|유즈하 리코,킨텍스 제2전시장 10홀 · 그룹 첫 단독 콘서트 · Twinkle 등 신곡 최초 공개,웹리서치
2026-05-08,,오리지널곡,「STAR TRAIL」 앨범 · Twinkle 정식 발매,아야츠노 유니|사키하네 후야|시라유키 히나|네네코 마시로|아카네 리제|아라하시 타비|텐코 시부키|아오쿠모 린|하나코 나나|유즈하 리코,콘서트 최초 공개곡의 음원화 · 18:00 KST,웹리서치
2026-07-11,2026-07-12,콘서트,아카네 리제 첫 단독 콘서트,아카네 리제,일일 수집 시작(2026-08-12) 이전이라 전후 비교 불가,수동
2026-07-27,,오리지널곡,cliché 1st EP 「Colorful Strokes」 (타이틀 Shooting Star),텐코 시부키|아오쿠모 린|하나코 나나|유즈하 리코,유닛 EP · 멤버 솔로곡 4곡 동시 수록 · 18:00 KST,웹리서치
2026-07-27,,오리지널곡,텐코 시부키 솔로 「Berry Verry Strawberry」,텐코 시부키,Colorful Strokes 수록 · 첫 솔로곡,웹리서치
2026-07-27,,오리지널곡,아오쿠모 린 솔로 「Maid My Way」,아오쿠모 린,Colorful Strokes 수록 · 첫 솔로곡,웹리서치
2026-07-27,,오리지널곡,하나코 나나 솔로 「Hush Trap」,하나코 나나,Colorful Strokes 수록 · 첫 솔로곡,웹리서치
2026-07-27,,오리지널곡,유즈하 리코 솔로 「악당주의보」,유즈하 리코,Colorful Strokes 수록 · 첫 솔로곡,웹리서치
