event_id,first_seen,date,type,title
2026-08-27_합방_이터널리턴,2026-08-29,2026-08-27,합방,이터널 리턴
2026-08-25_커버곡_콧치노켄토네기꺼이はいよろこんでこっちのけんとㅣ,2026-08-29,2026-08-25,커버곡,"콧치노 켄토 - 네, 기꺼이 [はいよろこんで / こっちのけんと]ㅣ네네코 마시로 x 텐코 시부키 Cover"
2026-08-22_커버곡_4K숨바꼭질かくれんぼAliA유즈하리코Yuzu,2026-08-29,2026-08-22,커버곡,[4K] 숨바꼭질 かくれんぼ - AliA / 유즈하 리코 Yuzuha Riko cover
2026-08-16_커버곡_논브레스오블리주ノンブレスオブリージュピノキオピ,2026-08-29,2026-08-16,커버곡,논브레스 오블리주 [ノンブレス・オブリージュ / ピノキオピー ] / 하나코 나나 COVER
2026-08-16_합방_데드바이데이라이트,2026-08-29,2026-08-16,합방,데드 바이 데이라이트
2026-08-11_커버곡_4K네가아니면안될것같아君じゃなきゃダメみたい大,2026-08-29,2026-08-11,커버곡,[4K] 네가 아니면 안될 것 같아 君じゃなきゃダメみたい - 大石昌良 / 유즈하 리코 x 텐코 시부키 x 하나코 나나 cover
2026-08-11_커버곡_소녀레이みきとP少女レイ아오쿠모린AokumoR,2026-08-29,2026-08-11,커버곡,소녀레이 [みきとP 『 少女レイ』] / 아오쿠모 린(Aokumo Rin) Cover
2026-08-10_커버곡_명일방주엔드필드리노EP미랫빛라이더Mirair,2026-08-29,2026-08-10,커버곡,「명일방주: 엔드필드」 리노 EP - 미랫빛 라이더 Mirairo Riderㅣ아카네 리제(Akane Lize) 【COVER】
2026-08-07_커버곡_희극Comedy喜劇호시노겐하나코나나COVER,2026-08-29,2026-08-07,커버곡,희극 (Comedy) [喜劇 / 호시노 겐] / 하나코 나나 COVER
2026-08-04_커버곡_4K히로인육성계획ヒロイン育成計画HoneyWo,2026-08-29,2026-08-04,커버곡,[4K] 히로인 육성계획 ヒロイン育成計画 - HoneyWorks / 유즈하 리코 Yuzuha Riko cover
2026-07-31_커버곡_우리쓰레기분리수거단我らゴミ分別団아오쿠모린x유,2026-08-29,2026-07-31,커버곡,우리! 쓰레기 분리수거단 (我ら！ゴミ分別団) - 아오쿠모 린 x 유즈하 리코 (Aokumo Rin x Yuzuha Riko) Cover
2026-07-28_커버곡_4K팝핀캔디피버PoppinCandyFever,2026-08-29,2026-07-28,커버곡,[4K] 팝핀 캔디☆피버! (Poppin' Candy☆Fever!) - キノシタ / 유즈하 리코 Yuzuha Riko & 아오쿠모 린 Aokumo Rin cover
2026-07-21_커버곡_4KセカイSEKAIDECO27kemu유즈하리,2026-08-29,2026-07-21,커버곡,[4K] セカイ(SEKAI) - DECO*27 & kemu / 유즈하 리코 (Yuzuha Riko) cover
2026-07-19_커버곡_4K사랑은마치뮤지컬레드북No9유즈하리코Yuz,2026-08-29,2026-07-19,커버곡,[4K] 사랑은 마치 - 뮤지컬 '레드북' No.9 / 유즈하 리코 (Yuzuha Riko) cover
2026-07-15_커버곡_서머타임레코드サマータイムレコードじん유즈하리코,2026-08-29,2026-07-15,커버곡,서머타임레코드 [サマータイムレコード / じん] / 유즈하 리코 (Yuzuha Riko) cover
2026-07-13_합방_팰월드,2026-08-29,2026-07-13,합방,팰월드
2026-07-11_콘서트_아카네리제첫단독콘서트,2026-08-29,2026-07-11,콘서트,아카네 리제 첫 단독 콘서트
2026-07-10_커버곡_아빠라고불러봤더니생긴일,2026-08-29,2026-07-10,커버곡,'아빠' 라고 불러봤더니 생긴 일
2026-07-07_커버곡_BoooTOKOTOKOl사키하네후야Sakih,2026-08-29,2026-07-07,커버곡,Booo! - TOKOTOKO l 사키하네 후야(Sakihane Huya) Cover
2026-07-04_커버곡_청록BlueRockitsㅣ아카네리제Akane,2026-08-29,2026-07-04,커버곡,청록[Blue Rock] - it'sㅣ아카네 리제(Akane Lize) 【COVER】
2026-06-29_커버곡_친애하는소년이여拝啓少年よHumpBack텐코시,2026-08-29,2026-06-29,커버곡,친애하는 소년이여 (拝啓、少年よ / Hump Back)  / 텐코 시부키 (Tenko Shibuki) cover
2026-06-28_커버곡_물떼새ヨルシカ千鳥아오쿠모린AokumoRinC,2026-08-29,2026-06-28,커버곡,물떼새(ヨルシカ - 千鳥) / 아오쿠모 린(Aokumo Rin) Cover
2026-06-25_합방_2026FIFA북중미월드컵대한민국,2026-08-29,2026-06-25,합방,2026 FIFA 북중미 월드컵 · 대한민국
2026-06-23_합방_마인크래프트봉켓몬,2026-08-29,2026-06-23,합방,마인크래프트 · 봉켓몬
2026-06-22_커버곡_LoveitbizZERAfeatLOLUET하,2026-08-29,2026-06-22,커버곡,Loveit? - biz×ZERA(feat.LOLUET) / 하나코 나나 COVER
