rank_subs,channel_id,name_ko,name_en,unit,role,handle,subscribers,total_views,video_count,created_at,channel_age_years,recent_n,recent_avg_views,recent_median_views,recent_max_views,recent_avg_engagement_rate,recent_avg_like_rate,uploads_per_week,uploads_per_month,shorts_share,reach_ratio,lifetime_views_per_sub,lifetime_views_per_video
1,UCIVFv8AiQLqM9oLHTixrNYw,강지,Kangji,STELLIVE,founder,gangzi1,759000,926717257,2249,2014-11-11T22:36:14Z,11.72,50,246643.1,197847.5,902326,0.02882,0.02769,4.4,19.12,0.2,0.325,1221.0,412057.5
2,UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,Ayatsuno Yuni,EVERYS,talent,ayatsunoyuni,357000,192178237,724,2022-12-20T18:25:09.738437Z,3.62,50,138621.2,106482.5,542806,0.03949,0.03679,2.72,11.84,0.22,0.388,538.3,265439.6
3,UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,Akane Lize,UNIVERSE,talent,akanelize,343000,281473044,577,2023-06-01T11:50:41.527518Z,3.17,50,253221.5,126244.5,1191713,0.0422,0.04036,5.91,25.72,0.44,0.738,820.6,487821.6
4,UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,Shirayuki Hina,UNIVERSE,talent,shirayukihina,317000,182186449,600,2023-06-01T11:42:49.359854Z,3.17,50,224251.6,110896.0,1272574,0.0357,0.03344,3.85,16.76,0.32,0.707,574.7,303644.1
5,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,Aokumo Rin,CLICHE,talent,aokumorin,273000,172744661,421,2024-05-14T10:09:58.99504Z,2.22,50,173474.9,103266.5,838026,0.04154,0.03951,5.12,22.26,0.26,0.635,632.8,410319.9
6,UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,Arahashi Tabi,UNIVERSE,talent,arahashitabi,252000,175956215,767,2023-06-01T11:48:28.671861Z,3.17,50,177315.9,107705.5,863156,0.03963,0.03736,4.45,19.37,0.24,0.704,698.2,229408.4
7,UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,Tenko Shibuki,CLICHE,talent,tenkoshibuki,222000,182050006,589,2024-05-14T10:02:13.057547Z,2.22,50,202959.8,137862.0,965158,0.04073,0.03937,6.86,29.83,0.48,0.914,820.0,309083.2
8,UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,Yuzuha Riko,CLICHE,talent,yuzuhariko,210000,162357103,546,2024-05-14T10:16:40.978487Z,2.22,50,258194.5,132953.0,2065569,0.04105,0.03915,6.02,26.17,0.4,1.229,773.1,297357.3
9,UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,Hanako Nana,CLICHE,talent,hanako_nana,199000,143302217,461,2024-05-14T10:18:50.368619Z,2.22,50,155407.1,90386.5,747300,0.0481,0.04597,4.57,19.89,0.44,0.781,720.1,310850.8
10,UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,Neneko Mashiro,UNIVERSE,talent,neneko_mashiro,179000,57375812,416,2023-06-01T11:33:30.823588Z,3.17,50,80354.8,54559.0,633655,0.05037,0.04745,2.01,8.72,0.08,0.449,320.5,137922.6
11,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,EVERYS,talent,sakihanechannel,128000,48557626,315,2025-09-16T10:33:13.484328Z,0.88,50,109053.8,79286.0,415181,0.04483,0.04288,4.45,19.37,0.36,0.852,379.4,154151.2
