rank,clip_channel_id,clip_channel_title,subs,clip_count,total_views,members_covered,primary_member
1,UCa3ZJe1WGlUcjROMB8K6ArQ,서트 클립 Surt Clip,4820,4,2636524,3,텐코 시부키
2,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,10100,32,2197820,9,시라유키 히나
3,UCGNCf6ibX1HWndVRgiChpqw,트박스 Twitch clips box,166000,2,2013486,1,강지
4,UCEBJV6V99ZJn_BnfkAoMyBA,피엔나야 클립따줘,5200,7,1317606,2,아카네 리제
5,UC8lS0RitnJdDRGyRyibeYXw,이로이로_키리누키,675,1,1039344,1,아야츠노 유니
6,UC6Fyyza_69kOyObucJN3K3A,누따비,17800,2,932622,2,아카네 리제
7,UC9FG2tCnbH2Kv2xzAudio3Q,누키누끼,4700,2,867880,2,아라하시 타비
8,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,1760,11,825152,7,강지
9,UCu68izFf9zJfLSEtC9-uuBg,스텔나스_팬채널,5280,22,752333,6,유즈하 리코
10,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,10100,5,646334,2,아야츠노 유니
11,UC7Jv6AQNgOuptD-sMKl8AQw,별조각편집소,7340,2,627934,1,텐코 시부키
12,UCUX0sVHjvyeXBgIlKKSzN5Q,시로 캣타워,3570,25,575802,2,네네코 마시로
13,UCipNLkM6O2WcPPwOsUTXZDA,클립라이브 ClipLive,843,1,568866,1,강지
14,UC8CspoD95Eon_mjg6fl2_sQ,타비 클립 창고,5190,25,517474,3,아라하시 타비
15,UCXJxEy7Wv6tGfmnwuZwCHwA,FTECLIP,6260,2,462426,2,시라유키 히나
16,UCg00BEW3e3HmnNLBWViFPeA,부키리누키,651,1,394586,1,텐코 시부키
17,UCRipF7KE5WnUEteUfRiBffA,스텔라이브 팬클립,5980,3,374271,2,아야츠노 유니
18,UCINUfsSX2gwXHB_CcrueSrg,스텔클립클립,5150,3,247636,3,아야츠노 유니
19,UCTT1PoV8qhCMlG_gxwriLww,모듬클립,1230,1,241598,1,아야츠노 유니
20,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,4400,39,239652,7,사키하네 후야
21,UCn15llc8qAuNLahdJ1MiDOg,꿈겨리[클립퍼],1540,5,239060,2,하나코 나나
22,UCNicQVuAQJYlCQKEw1TKn1A,けんき,561000,1,231793,1,아야츠노 유니
23,UCZqnfXdcaVOiMbImzqpeakQ,ぶいすぽ推し活 / バタフライ[切り抜き],3710,1,216582,1,아라하시 타비
24,UChnbdHiRuV1Z7JaYsO688zA,키리누키 따는 도깨비,2380,3,210773,2,네네코 마시로
25,UCBeHATp3J7AlgvPH8EWsMlw,후야의 뿔피리,2460,2,203354,2,강지
26,UCl5zjkiU9-dQInzsKAmv8nw,버튜버 팬박스,29900,1,186767,1,아야츠노 유니
27,UCPK8tMKReXvewGOz7d0zS9g,ぶいすぽEN切り抜き & Clips,21800,1,147235,1,유즈하 리코
28,UCFsEoZCAduiqh9xY0v3Br_w,ろこびっと【珠乃井ナナ切り抜き】,714,1,130811,1,하나코 나나
29,UCGfoXQT0l8YJA0gfZoJKlXQ,김천마 Gimcheonma Clip,4250,4,128391,4,강지
30,UCfYkL2RQVvw5juuqTR0Btjw,꼬마 클립,3730,5,123144,1,네네코 마시로
31,UCzHKbBYT5g4b5vRrW94Do8Q,くらげう工房,1760,1,112960,1,유즈하 리코
32,UCOnpswfzWfuX5cYrFCDvuRw,유라라,351,1,94923,1,텐코 시부키
33,UCEcqKLbZ7jQoxZCmEnHukQQ,타비 덕질 계정,617,2,79232,1,아라하시 타비
34,UCry-cqo_sdAyNLfaGI-__mA,StelLive切り抜き 翻訳チャンネル,350,14,72703,4,아야츠노 유니
35,UCi5bBoEc2VBADUFlx_ZVuPg,ぶいすぽの日常,37000,1,67643,1,하나코 나나
36,UCUabLHvc9nSaRnjppK5zepg,조선누룽지,7560,6,66412,2,하나코 나나
37,UCzWokoAfINJ4fouvKpclz5Q,네코 시로,1620,1,60497,1,시라유키 히나
38,UCqzw5-WH7iLU0-svf5-gyhw,레낭의 클립,133,2,58523,2,시라유키 히나
39,UCTC0Q-hc_hLjcm7anm7h6ow,UNDER STELLA,1780,1,56588,1,하나코 나나
40,UCmYgJn1bv3aVk81xJWa8SXg,쿠냐코냐,665,1,50960,1,유즈하 리코
41,UCOmWo_jU2xHLl4NzdnBIwtg,민트숯불치킨,30300,1,49201,1,아야츠노 유니
42,UChqJVHt_Ue2PcUSDOFzRZ0w,1분리코,7190,1,43760,1,유즈하 리코
43,UCkruCX-PB-riJ8vl717ts7Q,대백과,3230,1,38209,1,하나코 나나
44,UCz2Q-685x60KJt7oROyKU4w,클립시바견,1200,1,37899,1,강지
45,UCaZe24DH7CJ_ZCtrXfQwNkg,버츄얼키리누키,3660,4,32773,2,네네코 마시로
46,UC3okuxcTRWiIZL_mc3OXfUg,버튜바삼각지대,6280,1,23885,1,시라유키 히나
47,UCMVY3pc7_ls3VXtEOIafD9g,취미클립채널,349,2,20876,2,네네코 마시로
48,UCX34wuta-mYtZhKr3lS5nwg,GREE Entertainment ANIME & GAME【公式】,54300,1,20128,1,하나코 나나
49,UCyaLqO2WIAlZmIkz_kL3yNw,VtuberOtaku【切り抜きch】,3630,1,14469,1,아라하시 타비
50,UCp5cDlDvsLUp6wjl4ELtmNw,논리폭탄 LogicBomb,16500,1,12632,1,시라유키 히나
51,UCf6RJz_2KJkGU4G8SxmPQPw,스텔라이브 키리누키 팬튜브,244,2,9341,2,아야츠노 유니
52,UCB7blLxNmAHbVhluiB86veg,시로잘봐,235,1,7332,1,네네코 마시로
53,UCUx2r3S_zQtmo_ghvNAuNmw,もにゃりと【ホロライブEN /ID切り抜き】,1390,1,6170,1,아오쿠모 린
54,UCBiATOGgCqf8uoFfX-pZ1gA,Yuuki【切り抜き】,12200,1,5916,1,아야츠노 유니
55,UCIYXLSh2rKevADzDQb89xGA,ばんちょー切り抜き堂【轟はじめ非公式】,87,3,5164,1,하나코 나나
56,UC--c7FfFKJIr1yP4FBH9eCQ,KR하꼬키리누키,256,1,5049,1,아야츠노 유니
57,UCfJWNsFuKV7R7vBhSXENJKg,특이점이 온 키리누키,1830,1,3772,1,하나코 나나
58,UCPM2ejUGjA1m2E_Vf_UJrQw,Krypto137 - Indie vtuber clips,1600,1,2227,1,아야츠노 유니
59,UCld7BuLzsDrtfCUA4Cd4TNA,야호꼬리,858,1,2106,1,아라하시 타비
60,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,10,8,2103,1,사키하네 후야
61,UCU1-EdgAxmcj1HCu4bub9WQ,조선누룽지 NEWS Live,2360,2,1851,2,강지
62,UCewkiws8GvfNr54JZHKIYrw,Ra s,961,1,1788,1,아라하시 타비
63,UCYLA7O-YewkYHiZlx-LQGTw,일루와잇,60,1,1196,1,텐코 시부키
64,UCeux4WzKhicTD9Xifnr31eg,ExoticBankai,1380,1,952,1,텐코 시부키
65,UCUDAoCWuI1nZ6IeZfQ_-8jA,おうぼしたーの切り抜き動画,220,1,916,1,하나코 나나
66,UCEvpRY_t-N5QD2q_dczII8A,Holoooo 키리누키,330,1,754,1,네네코 마시로
67,UCBIft6nnA6gQcvQbarJmeMQ,스텔누키,1,1,676,1,네네코 마시로
68,UCuu0Lh2OuiHYuEOfdIEVLmQ,별뇨잇,1460,1,615,1,아오쿠모 린
