rank,name_ko,name_en,unit,followers,follower_delta,follower_per_day,n_sessions,n_live_points,peak_ccu,avg_ccu,ccu_per_1k_followers
1,아라하시 타비,Arahashi Tabi,UNIVERSE,255329,3,367.2,0,0,,,
2,네네코 마시로,Neneko Mashiro,UNIVERSE,209821,2,244.8,0,0,,,
3,강지,Kangji,STELLIVE,287149,2,244.8,0,0,,,
4,하나코 나나,Hanako Nana,CLICHE,207428,2,244.8,0,0,,,
5,아야츠노 유니,Ayatsuno Yuni,EVERYS,301922,2,244.8,0,0,,,
6,텐코 시부키,Tenko Shibuki,CLICHE,241119,2,244.8,0,0,,,
7,아카네 리제,Akane Lize,UNIVERSE,252904,2,244.8,0,0,,,
8,사키하네 후야,Sakihane Huya,EVERYS,156742,1,320.3,0,0,,,
9,시라유키 히나,Shirayuki Hina,UNIVERSE,236849,1,122.4,0,0,,,
10,아오쿠모 린,Aokumo Rin,CLICHE,219101,1,122.4,0,0,,,
11,유즈하 리코,Yuzuha Riko,CLICHE,209336,1,122.4,0,0,,,
