comment_id,video_id,name_ko,name_en,unit,text,like_count,published_at,text_len
UgwUKGa9COhUnJDebbN4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,"여자 이희태, 잡아당긴 탬탬버린, 뱃살없는 김진우 ㄷㄷ;",2952,2026-08-12T07:22:39Z,31
Ugw1kuBgIR4E-aR1djp4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,이런 강지님이 히나 부키 다 팔씨름으로 이겼다면 히나 부키는 얼마나 연약한거야…,547,2026-08-12T12:21:58Z,44
Ugys-SrxBGyTvMsLD8B4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,어흐인줄 알고 눌렀는데 어휴.. 부러질꺼같아,4029,2026-08-12T07:02:11Z,24
UgwmtK9JWv3chpDL__d4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,1:13 어떤놈이야 잡아와.,236,2026-08-12T09:47:13Z,15
UgwnvbyGZIwj4kX8kql4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,2:57 보자마자 아이고... 소리나옴,1290,2026-08-12T07:48:08Z,21
UgzwNZ1Fss3Ogzyea9N4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,15:38 ㅋㅋㅋㅋ“밥개많이 먹고와주세요”,128,2026-08-12T11:57:02Z,23
UgxCcM8vb5JecPHGOD94AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,"아이고... 우리행님 너무 뼈가 되셨네
7:42 습박!!",259,2026-08-12T07:12:31Z,31
UgwNt6qft31ofhlkK9d4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,어흐가 아니라 아이고... 네...,377,2026-08-12T08:43:01Z,19
UgzDsE0UL_U2t2R3ciF4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,2:14 진짜 보자마자 물음표 올라왔다,784,2026-08-12T07:05:01Z,21
UgzpXOVsyeYKdONDl-94AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,14:52 맹구야 ㅈㄴ부럽다...,61,2026-08-12T10:33:57Z,18
Ugw32Q0MOGSmunZynRR4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,키큰 탬탬버린이네..,1542,2026-08-12T07:20:16Z,11
UgwnKbUG4B9nfD7KBCl4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,9:10 어...? 저 이 장면 드래곤볼에서 본 적 있어요.,73,2026-08-12T10:46:40Z,33
UgzGHDg0m0RB_zOTWMt4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,9:12 막 태어난 기린다리 같아요,471,2026-08-12T07:13:22Z,19
UgzMxq-MFoy4D-WqSON4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,애들아 회사가서 강사장 만나면 먹을거좀 챙겨주라.. 정말 걱정이야..,170,2026-08-12T08:13:31Z,38
UgxQvzSVqbDiJvh-ZNJ4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,"진짜 독립해서 혼자 사는 것도 아닌데 왜이렇게 말랐냐..
팔다리가 굴곡이 거의 없네",536,2026-08-12T07:08:14Z,46
UgyTfPqYOj9-GNMY7bl4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,아니 말랐다고 알고는 있었는데 이정도면 거의 스켈레톤1 아니냐...??,19,2026-08-12T22:22:16Z,39
UgwYT2dZnhuCfFmhjIV4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,다시봐도 다리찢기는 진짜 개웃긴다 ㅋㅋㅋ,400,2026-08-12T07:02:32Z,22
Ugz6vkCRRql_MiQP3xN4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,4:10 이게 대체 무슨 소리야 ㅋㅋㅋㅋ,60,2026-08-12T14:01:56Z,22
UgxPQLb7-H3FdTazK2B4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,사쵸 제발 밥 드세요,201,2026-08-12T07:16:18Z,11
UgwMpmgXtq9XLro6nu94AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,0:09 역시 사업은 엄청 힘드네요 다리에 뼈만 앙상하게 보일정도니.. ㄷㄷ,7,2026-08-12T08:21:50Z,42
Ugw3nyTIf48fI2fSXnt4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,와..강지님 옛날 인별 사진에 비해 진짜 너무 마르셨다ㅜㅜ,13,2026-08-12T08:02:08Z,32
UgxVDgIqKiC6oou5Ugl4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,2:53 ㄹㅇ루 살 없어서 보이는 실근육인데,51,2026-08-12T08:40:53Z,24
Ugy7eHZ4jIoGMu_6yDd4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,패왕색 패기에 가려져 확인조차 할 수 없던 안산의 왕의 실체가 간만에 드러났다,34,2026-08-12T07:02:55Z,43
Ugz42iPh99MEQw1Ze9R4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,와 진짜 누가 될지 모르겠지만 남편 개부럽다 진짜,8,2026-08-12T12:36:06Z,27
UgxoKmLu4pez--1dp6t4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,12:47 바로 썸네일 찾게되는 마법..,30,2026-08-12T07:02:47Z,22
Ugyd_IvPIrteAc4X5jF4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,벌써부터 멤버들의 행복한 소리와 많이 먹으라는 잔소리가 다 들리네요,3,2026-08-12T08:35:16Z,37
UgyfJbt-fGrxl88SW1B4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,이사람은 우리가 뭘 좋아하는지 잘 안단 말이지 바로들어와 ㅋㅋㅋ,22,2026-08-12T07:03:10Z,35
UgxYn8KdL90FLs3Km1V4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,12:45 귀찮다면서 해달라는 거 계속 해주시네 ,71,2026-08-12T08:24:58Z,26
UgwR4-GG1tecOCRSmed4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,강머니...아좀 먹여주이소..,35,2026-08-12T07:32:31Z,16
UgyOj1Rh1hvOdAQyvkF4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,강지님 진짜 가만 보면 어린애 같다니까!ㅎ 근데..필라테스 하시면 죽겠는데..유연성이..,6,2026-08-12T08:08:57Z,49
UgyFcDOT3cz9zd9pjIV4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,썸네일 뭐지요? 못참고 들어왔습니다.,719,2026-08-12T07:01:26Z,20
Ugw7Ao8fWcivXIZHt6Z4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,왕귀엽고 왕큰강지님 반캠이라니 너무 좋내요!!! 어려우시겠지만 가끔 반캠 자주 해주셨으면 좋갰어요!!!😍😍😍😍😍,0,2026-08-12T13:35:30Z,62
UgySTxBW-_ahwrDOLxB4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,누가좀 맥여라.. 너무말랐다,143,2026-08-12T07:33:35Z,15
UgzD3PYQBmvwJmge97Z4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,우연히 생방으로도 잠깐 봤지만 반캠 진짜 오랜만이라 넘 좋다,0,2026-08-12T15:05:20Z,33
Ugxwt3JLM5fW2R_Re1x4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,"아이고...... 아이고.......
끼니 거르지 마시오 강사장......",12,2026-08-12T07:35:33Z,41
UgwTIB01l83KoSlhe454AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,염병하지말ㄹ고 건강해라,42,2026-08-12T15:19:40Z,12
UgzJn0lO7OV21ON1_GB4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,강지님 너무 귀엽자너~!!!!!! 아니 이렇게 귀여우셔도 되는거냐구~~~~,8,2026-08-12T07:23:46Z,41
UgxW7VtBo85pX9-vN814AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,진짜 애기 같은 강지님!😆,2,2026-08-12T08:31:52Z,14
UgxHsXwQWQsWip7x4hx4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,설백님도 이것보단 통통하겠네,11,2026-08-12T07:56:25Z,15
UgyCbryVVUGCnCPZNQh4AaABAg,uoEToKJ2-z4,강지,Kangji,STELLIVE,9:51 통통이라는 기준이 바꼈나요? 흠,10,2026-08-12T10:55:14Z,22
UgykxNUZqrtaJ9Gvch14AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,"둘이 꽁냥대는 거 아주 쥬시해
방금 치과다녀왔는데 다시 가야할 것같아",3794,2026-07-20T07:34:44Z,38
Ugy5x5MDI7E2_74Vxwd4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,강지 웃을때 끊어서 하하하 웃는거 진짜 개 귀여움,3107,2026-07-20T07:25:50Z,27
UgxClYZVTM9D0qnXIjx4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,장작이 저절로 탄다니까?,1898,2026-07-20T07:29:20Z,13
Ugwr6e0VFWHB8jIRsxl4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,아 달다.....달아......너무 달다....... 일부러 보는 앞에서 생색내며 누르려고 참은 강사장도 대단하네..... 나 왜 이거 보면서 웃지.....?,1481,2026-07-20T07:25:17Z,88
UgzTt5FZZCJVzabpSxR4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,진짜 연인끼리 (부부끼리) 장난으로 수다떠는 것 같음.. ㅠㅜㅜ 강블은 천년에 한번 나올까말까 하는 내가 “지지하는” 커플이다 ㄹㅇ,870,2026-07-20T08:09:21Z,73
UgxtP5BliFjgAZ5PBDR4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,강블쇼츠라니 감사합니다...,641,2026-07-20T07:28:29Z,15
UgwFUH3w3eMAvLKOpFF4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,쇼츠마저 뜨거운 두 사람 ㅋㅋㅋ,381,2026-07-20T07:24:44Z,17
UgzKO5en9JJY_30-HxR4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,강블코인 상장폐지가 안된이유,337,2026-07-20T08:19:32Z,15
Ugz5FrQHb1qJKep_rEt4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,소개팅보고 급하게 올린 강지면 개추ㅋㅋ,376,2026-07-20T07:27:18Z,21
UgxjBGx4glhPZlONxyB4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,칭찬받고 신난 감자 줜ㄴ나 귀엽네,114,2026-07-20T08:28:55Z,18
UgwildwyZPSE_2xOrPF4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,"둘이 이쁜 사랑 하세요~~
근데 둘이 귀엽넼ㅋㅋㅋ",521,2026-07-20T07:27:03Z,27
UgxAywX5MGAe81W_x7R4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,이쁘다는 말에 빨개지면서 부들부들 떠는거 밍쳐귀엽네ㅋㅋㅋ,54,2026-07-20T08:04:31Z,31
UgwDPoEFkaqjK1oBQfd4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,내가 유일하게 투자 성공한 코인임 ㅇㅇ,61,2026-07-20T09:05:08Z,21
UgxigI7jMhlESepTkBt4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,"이가 썩을것 같아 너무 달아 ㅋㅋ
강블은 이런 분위기 너무 좋아요  ㅋㅋ",45,2026-07-20T08:43:12Z,40
UgzbnOpjlX1YMsu2Yy94AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,이 조합 무지달다 이거 완전 팬케이크아니야!,100,2026-07-20T07:25:03Z,24
UgwnW2G67kvLr-52HHp4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,호감인 상대와 대화할때 보통 원래 목소리보다 톤이 살짝 올라가는데 강지님 목소리가 블루님한테는 확실히 달라,1,2026-08-14T23:41:35Z,59
Ugzt1H6BK6aQOpoWsBp4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,"진짜... 이 코인을 내가 몇년 동안 기다렸는데!!!!!
둘이 불 붙인거야? 😊",197,2026-07-20T08:01:21Z,44
Ugy8dv5T4m3-KQzM0554AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,블루님 감자 그림체 마음에 드네여,76,2026-07-20T07:24:55Z,18
Ugw4BPX5dREsZjWwgHx4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,감자 부끄러워서 찐감쟈 되겠네,37,2026-07-20T08:09:36Z,16
Ugwcicw5Fq4HxoXGasV4AaABAg,nsV1HkZS5VI,강지,Kangji,STELLIVE,이게 자연발화지,24,2026-07-20T09:55:19Z,8
