video_id,name_ko,name_en,unit,title,views
uoEToKJ2-z4,강지,Kangji,STELLIVE,오프 행사에서 난리 났었다는 강지의 그 복장,662376
nsV1HkZS5VI,강지,Kangji,STELLIVE,데헷 걸렸네 ᐠ( ᐢ ⩊ ᐢ )ᐟ #감자툰 #김블루 #쇼츠,539336
RlHhOcxnYII,강지,Kangji,STELLIVE,최근 강지가 지구상에서 매일 1그램씩 사라지고 있다는 사실을 아시나요?,520379
J3aC5GFGw2c,강지,Kangji,STELLIVE,결국 찌라시에 박차를 가하는 두 사람...,443688
egoTEH8teX0,아야츠노 유니,Ayatsuno Yuni,EVERYS,아 르 냥 일 어 나 🕗 !! #stellive #스텔라이브 #유니 #알람,598870
GiaDQPVBDsM,아야츠노 유니,Ayatsuno Yuni,EVERYS,다이죠부이데쇼 😎💜  #stellive #스텔라이브 #유니,465391
_GtqXRMM9ik,아야츠노 유니,Ayatsuno Yuni,EVERYS,오늘만을 기다렸다...,233388
1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,안된다 안카나,213807
w16uoVZpKqY,사키하네 후야,Sakihane Huya,EVERYS,단단비리비리 #shorts #vtuber,358539
jeft__9y7ik,사키하네 후야,Sakihane Huya,EVERYS,So Feminine #shorts #vtuber,291493
FmMnqJQ6tX0,사키하네 후야,Sakihane Huya,EVERYS,스타크래프트 희망편 #shorts #vtuber,217134
VITNdv2ZywY,사키하네 후야,Sakihane Huya,EVERYS,Booo! - TOKOTOKO l 사키하네 후야(Sakihane Huya) Cover,210733
lR8FEwEnuqk,시라유키 히나,Shirayuki Hina,UNIVERSE,공주 언니 좋으면 멍멍해! #cartoon #comic #vtuber #shorts,898625
xKYey53VI1U,시라유키 히나,Shirayuki Hina,UNIVERSE,가장 중요한 것 #cartoon #comic #vtuber #shorts,347562
hYLq5yxrxu0,시라유키 히나,Shirayuki Hina,UNIVERSE,미워... 미운데... 안 미워... #cartoon #comic #vtuber #shorts,327335
tSFBhzzjI7k,시라유키 히나,Shirayuki Hina,UNIVERSE,저 너무 부담스러워요 #cartoon #comic #vtuber #shorts,246803
jMPJW2JNc9M,네네코 마시로,Neneko Mashiro,UNIVERSE,⬆️고양이의 점프력⬆️ #네네코마시로 #스텔라이브 #3D #점프챌린지 #shorts,649605
eeDdzUFGfcU,네네코 마시로,Neneko Mashiro,UNIVERSE,니기니기니지타운 댄스~ #にぎにじダンス #네네코마시로 #스텔라이브 #3D #shorts,202291
f7uaxrWNIdE,네네코 마시로,Neneko Mashiro,UNIVERSE,망상 아스파탐 妄想アスパルテーム |  네네코 마시로 Cover,152419
yY_Al_ZYnvA,네네코 마시로,Neneko Mashiro,UNIVERSE,양아치가 되어 돌아온 고양이,124316
D9OEykMduEU,아카네 리제,Akane Lize,UNIVERSE,온라인도 오프라인도 모두 야르한 콘서트 되세요~ #vtuber #shorts,1537058
TTHSIecBzhg,아카네 리제,Akane Lize,UNIVERSE,"엥나 대답, 아카네 리제 콘서트 대답 구호 안내! #vtuber #shorts",846732
BJeJjfbM-XM,아카네 리제,Akane Lize,UNIVERSE,사쵸의 리제 성대모사 #vtuber #shorts,696887
wQSqaxmmt7Y,아카네 리제,Akane Lize,UNIVERSE,제철 리제가 왔어요~ #vtuber #shorts,508345
HbH5LgxkSm4,아라하시 타비,Arahashi Tabi,UNIVERSE,타비도 꿍싯꿍싯💕 #shorts #vtuber #타비,1117960
KxG2L57W0SQ,아라하시 타비,Arahashi Tabi,UNIVERSE,요즘 유행하는 야르송에 신이난 야랄의 악마 #shorts #vtuber #타비,881159
yqkYpiIwYl0,아라하시 타비,Arahashi Tabi,UNIVERSE,비키니를 승인해주세요 타비님! #shorts #vtuber #타비,536064
qTTdVWWIB6Q,아라하시 타비,Arahashi Tabi,UNIVERSE,그녀의 치명적인 애교 #shorts #vtuber #타비,319931
nsZmnwC9ukE,텐코 시부키,Tenko Shibuki,CLICHE,텐코 시부키(Tenko Shibuki) | 베리베리스트로베리 'Berry Verry Strawberry',830282
wO7pHjlBdz4,텐코 시부키,Tenko Shibuki,CLICHE,음~뫄 #shorts #vtuber,467696
Ujpl7itnr0Q,텐코 시부키,Tenko Shibuki,CLICHE,못 본 사이에 많이 자랐죠?,370489
8bk_ezp8FB0,텐코 시부키,Tenko Shibuki,CLICHE,(단독입수) 부키 베베스 연습 촬영본 유출?!🍓 #shorts #vtuber #시부키 #베리베리스트로베리,322076
ZYSQLv_L26Y,아오쿠모 린,Aokumo Rin,CLICHE,아오쿠모 린(Aokumo Rin) | 'Maid My Way',1335903
ys4_cLIvTt0,아오쿠모 린,Aokumo Rin,CLICHE,얘들아 궁금한게 있어🥸 #shorts #meme #stellive,366278
NMqafFZBz30,아오쿠모 린,Aokumo Rin,CLICHE,날 따라 해봐요! w. 클리셰😎 #shorts #animation,334470
I88_TyumGqQ,아오쿠모 린,Aokumo Rin,CLICHE,린과 함께 살짝 미쳐봐☁️✨️ #stellive #cliche #maidmyway #originalsong,223588
jvZRK7W7S9Y,하나코 나나,Hanako Nana,CLICHE,하나코 나나(Hanako Nana) | 'Hush Trap',833322
UoeqQ79OhJk,하나코 나나,Hanako Nana,CLICHE,나나도 아웃라인 챌린지!🔫 #shorts,589609
bS2cGRxFZ0c,하나코 나나,Hanako Nana,CLICHE,다이죠브이데쇼!✌️ #shorts #vtuber,411463
gyXOoNr_zfU,하나코 나나,Hanako Nana,CLICHE,우산☂️안 챙기면 생기는 일.. #shorts #animation,264652
P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,유즈하 리코(Yuzuha Riko) | '악당주의보',1105709
6y-jHz_1r1Y,유즈하 리코,Yuzuha Riko,CLICHE,어때 느낌 있지? #vtuber #shorts #스텔라이브 #리코 #용사툰 #유니 #강지 #타비 #마시로 #히나 #리제,914648
p7jnlTehA2M,유즈하 리코,Yuzuha Riko,CLICHE,클리셰의 이상한 햄버거 #vtuber #shorts #리코 #스텔라이브 #챌린지 #meme,870678
6k6oZQPU19g,유즈하 리코,Yuzuha Riko,CLICHE,축하빵 줄 서세요 #vtuber #shorts #스텔라이브 #리코 #용사툰,669380
