metric,category,value,unit,year,region,source_name,source_url,note
글로벌 VTuber 시장 규모(2026),market_size,3130,million_usd,2026,Global,SkyQuest Vtuber Market Report,https://www.skyquestt.com/report/vtuber-market,"2031년 49.4억 달러 전망, CAGR 9.56%"
글로벌 VTuber 시장 규모(2031 전망),market_size,4940,million_usd,2031,Global,SkyQuest Vtuber Market Report,https://www.skyquestt.com/report/vtuber-market,CAGR 9.56%
글로벌 VTuber 시장 규모(2026 대안추정),market_size,3310,million_usd,2026,Global,Global Growth Insights,https://www.globalgrowthinsights.com/market-reports/vtuber-virtual-youtuber-market-102516,"2032년 82.4억 달러 전망, CAGR 16.3%"
글로벌 VTuber 시장 규모(2032 전망),market_size,8240,million_usd,2032,Global,Global Growth Insights,https://www.globalgrowthinsights.com/market-reports/vtuber-virtual-youtuber-market-102516,CAGR 16.3%
구독+후원 매출 비중,revenue_share,52.67,pct,2025,Global,SkyQuest Vtuber Market Report,https://www.skyquestt.com/report/vtuber-market,VTuber 매출원 중 구독/후원(수퍼챗 등) 비중
유튜브 매출 비중,revenue_share,49.73,pct,2025,Global,SkyQuest Vtuber Market Report,https://www.skyquestt.com/report/vtuber-market,플랫폼별 매출 중 YouTube 비중
아시아태평양 지역 점유율,region_share,65.14,pct,2025,APAC,SkyQuest Vtuber Market Report,https://www.skyquestt.com/report/vtuber-market,VTuber 시장 지역별 점유율
치지직 월간활성이용자(MAU),platform_kpi,2420000,users,2026,Korea,파이낸셜뉴스,https://www.fnnews.com/news/202508171809456473,2026년 7월 기준. 전년동월 대비 +17%
치지직 월간 시청시간,platform_kpi,847000000,minutes,2026,Korea,파이낸셜뉴스,https://www.fnnews.com/news/202508171809456473,2026년 7월 기준. 전년동월 대비 +91%
치지직 LCK 뷰어십,platform_kpi,3310000,users,2026,Korea,파이낸셜뉴스,https://www.fnnews.com/news/202508171809456473,SOOP(옛 아프리카TV) 125만명 대비 우위·점유율 60%+
한국 크리에이터 산업 사업체 수,industry_kr,11089,count,2025,Korea,한국콘텐츠진흥원(KMCC),https://www.kmcc.go.kr/,크리에이터 미디어 산업 실태조사
한국 크리에이터 산업 매출액,industry_kr,5550300,million_krw,2025,Korea,한국콘텐츠진흥원(KMCC),https://www.kmcc.go.kr/,"5조 5,503억원"
한국 크리에이터 산업 종사자 수,industry_kr,43717,count,2025,Korea,한국콘텐츠진흥원(KMCC),https://www.kmcc.go.kr/,크리에이터 미디어 산업 실태조사
